ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus_x,score_5AP7,best_cnn,mean_cnn,best_vina,consensus_y,final_score,score_source
phase2b_seed_4_137441521,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_71288606,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_0_5329106,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_0_5496659,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_25113172,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_2_46927297,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_0_58124325,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_0_12136798,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_25261388,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_11270783,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_2_462961,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_25262782,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_46232643,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_118034891,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_75163532,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_51034710,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_1_9951066,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_1_53252276,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_1_208947,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_2_58548152,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_165414909,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_0_11610526,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
phase2b_seed_4_45488032,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_59455638,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_0_44631912,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_46227572,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_2_216210,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_57377741,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_1_44623946,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_0_6433122,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_0_51352361,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_25255436,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_2_35802,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_1_9864291,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_67501573,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_2_462960,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_2_58548190,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_137450100,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_67776704,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_67775470,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_124037111,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_1_71059525,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
phase2b_seed_4_51035420,-8.1,-8.1,0.0,1,1,False,-8.1,,,,,-8.1,smina
