ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus,score_5AP7
phase2b_seed_4_44217530,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_90072314,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_0_11569967,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_1_2403,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_4_45482952,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_65906,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_57378228,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_4_53469619,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_132016492,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_720149,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_44483163,-8.6,-8.6,0.0,1,1,False,-8.6
phase2b_seed_2_11430418,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_3_135565981,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_1_9888211,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_1_49850262,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_11774068,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_0_68663,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_0_2929,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_58548384,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_90072542,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_56836188,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_0_11625818,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_1_10138259,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_71288679,-8.5,-8.5,0.0,1,1,False,-8.5
phase2b_seed_4_165415295,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_129116690,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_1_5517,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_0_71535962,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_466848,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_146395245,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_53482276,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_146560487,-8.4,-8.4,0.0,1,1,False,-8.4
