ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2_7CHM_LIG_155564829,-9.642,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.25a=155.1 | GLU603(ldon)d=2.98a=107.8 | GLY605(ldon)d=3.37a=116.7 | GLY605(ldon)d=3.09a=116.7,True
phase2_7CHM_LIG_162614379,-9.641,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.18a=153.6 | GLU603(ldon)d=3.16a=141.6 | GLY605(ldon)d=2.96a=123.3 | GLY605(ldon)d=3.38a=133.4,True
phase2_7CHM_LIG_117881522,-9.632,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.20a=149.7 | GLU603(ldon)d=3.20a=146.8 | GLY605(ldon)d=2.90a=136.2 | GLY605(ldon)d=3.28a=101.3,True
phase2_7CHM_LIG_117881546,-9.63,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.61a=146.3 | GLY605(ldon)d=3.16a=127.3 | GLY605(ldon)d=3.43a=104.5,True
phase2_7CHM_LIG_147772165,-9.628,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.93a=159.4,True
phase2_7CHM_LIG_155548752,-9.616,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.30a=153.7 | GLY605(ldon)d=3.19a=105.6 | GLY605(ldon)d=3.51a=105.3,True
phase2_7CHN_LIG_155109134,-9.608,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.12a=152.6 | GLU603(ldon)d=3.01a=129.3 | GLY605(ldon)d=2.83a=177.1,True
phase2_7CHM_LIG_117881541,-9.579,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.57a=151.3 | GLY605(ldon)d=3.27a=127.3,True
phase2_7CHM_LIG_142416311,-9.557,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.24a=149.0 | GLU603(ldon)d=3.18a=154.7 | GLU603(ldon)d=3.15a=128.4 | GLY605(ldon)d=3.51a=111.4 | GLY605(ldon)d=3.49a=152.3,True
phase2_7CHM_LIG_142416384,-9.545,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.81a=161.4 | GLY605(ldon)d=3.49a=118.5 | GLY605(ldon)d=3.39a=119.0,True
phase2_7CHM_LIG_142436063,-9.536,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.63a=142.5 | GLY605(ldon)d=3.09a=109.9 | GLY605(ldon)d=3.69a=163.2,True
phase2_7CHN_LIG_155691552,-9.529,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.27a=154.1 | GLU603(ldon)d=3.10a=119.3 | GLU603(ldon)d=3.19a=132.5 | GLY605(ldon)d=3.43a=149.0 | GLY605(ldon)d=3.44a=120.3,True
phase2_7CHM_LIG_142416365,-9.527,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=149.1 | GLU603(ldon)d=3.16a=113.2,True
phase2_7CHM_LIG_118286394,-9.52,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.19a=149.0 | GLU603(ldon)d=3.12a=103.6 | GLY605(ldon)d=2.91a=137.5,True
phase2_7CHM_LIG_142416338,-9.482,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=4.02a=158.0 | GLU603(ldon)d=3.10a=170.3 | GLY605(ldon)d=3.42a=153.5 | GLY605(ldon)d=3.51a=156.9,True
phase2_7CHM_LIG_142416333,-9.468,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.19a=149.2,True
phase2_7CHM_LIG_142416334,-9.46,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.16a=150.1 | GLU603(ldon)d=3.13a=111.4 | GLU603(ldon)d=3.07a=164.9 | GLY605(ldon)d=2.99a=140.5 | GLY605(ldon)d=3.48a=118.0 | GLY605(ldon)d=3.48a=119.6,True
phase2_7CHM_LIG_117881492,-9.448,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.49a=151.2 | GLU603(ldon)d=3.90a=110.1,True
phase2_7CHT_LIG_151121021,-9.439,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.53a=151.4 | GLY605(ldon)d=4.08a=138.1,True
phase2_7CHN_LIG_155119022,-9.431,3,1,2,0,0,0,0,[605],GLY605(pdon)d=2.91a=158.6 | GLY605(ldon)d=4.00a=160.0 | GLY605(ldon)d=3.79a=124.4,True
phase2_7CHM_LIG_146393688,-9.424,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.19a=147.7,True
phase2_7CHN_LIG_168793585,-9.416,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.29a=154.0 | GLY605(ldon)d=3.43a=150.3 | GLY605(ldon)d=3.36a=120.1,True
phase2_7CHN_LIG_169729302,-9.416,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.29a=154.0 | GLU603(ldon)d=3.15a=141.7 | GLY605(ldon)d=3.43a=117.2 | GLY605(ldon)d=3.36a=120.1,True
phase2_7CHM_LIG_142416343,-9.414,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.68a=169.1 | GLY605(ldon)d=2.98a=132.3 | GLY605(ldon)d=4.04a=136.1,True
phase2_7CHM_LIG_142416358,-9.402,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.17a=149.4 | GLY605(ldon)d=3.46a=107.2,True
phase2_7CHM_LIG_151973166,-9.398,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.28a=150.0 | GLY605(ldon)d=2.95a=131.4 | GLY605(ldon)d=3.09a=166.2,True
phase2_7CHN_LIG_155109143,-9.384,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.14a=149.2 | GLU603(ldon)d=3.06a=150.2,True
phase2_7CHN_LIG_155109125,-9.378,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=153.8 | GLU603(ldon)d=3.07a=136.0,True
phase2_7CHM_LIG_122490578,-9.374,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.47a=152.6 | GLU603(ldon)d=3.01a=136.3 | GLY605(ldon)d=3.42a=118.2 | GLY605(ldon)d=2.97a=111.1 | GLY605(ldon)d=3.17a=100.2,True
phase2_7CHM_LIG_150071746,-9.37,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.22a=148.6 | GLU603(ldon)d=3.18a=114.4 | GLY605(ldon)d=3.42a=119.3,True
phase2_7CIL_LIG_142755078,-9.341,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.64a=166.7 | GLU603(ldon)d=2.95a=128.9 | GLY605(ldon)d=3.86a=128.3,True
phase2_7CHN_LIG_155109158,-9.339,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.23a=152.2 | GLY605(ldon)d=3.26a=102.8,True
phase2_7CHM_LIG_146393631,-9.338,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.18a=148.2 | GLU603(ldon)d=3.09a=154.1 | GLY605(ldon)d=3.38a=121.7,True
phase2_7CHM_LIG_162614708,-9.327,0,0,0,0,0,0,0,[],,False
phase2_7CHM_LIG_126482470,-9.321,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.19a=160.3 | GLU603(ldon)d=3.02a=142.1 | GLU603(ldon)d=3.00a=122.4 | GLY605(ldon)d=2.93a=102.7 | GLY605(ldon)d=3.48a=118.4 | GLY605(ldon)d=3.20a=105.6,True
phase2_7CHN_LIG_166866574,-9.309,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.23a=151.5,True
phase2_7CHM_LIG_146393798,-9.307,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.52a=145.1 | GLY605(ldon)d=3.08a=128.2 | GLY605(ldon)d=3.68a=111.7,True
phase2_7CHM_LIG_155012424,-9.29,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.25a=150.6 | GLY605(ldon)d=3.02a=165.0,True
phase2_7CHM_LIG_146393712,-9.283,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.26a=152.4 | GLU603(ldon)d=3.12a=141.1 | GLY605(ldon)d=3.25a=152.9 | GLY605(ldon)d=3.74a=134.3,True
phase2_7CHM_LIG_142436000,-9.272,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.33a=153.9 | GLU603(ldon)d=3.07a=140.9 | GLY605(ldon)d=2.96a=136.9 | GLY605(ldon)d=3.50a=118.7,True
phase2_7CHM_LIG_155012426,-9.27,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.23a=148.7 | GLU603(ldon)d=3.17a=125.6 | GLY605(ldon)d=3.43a=119.3,True
