ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CHM_LIG_118286384,7CHM_LIG,-8.899,3,0,411.46,2.97,2,7,101.6,5.987,1029.35,CCOc1nc(Nc2ccc(C(=O)N3CCOC[C@@H]3C)cc2OC)nc2[nH]ccc12,4.811,0.068,15448.98,high,0.444570392201315,0.34586466165413526,0.39521752692772516
phase2_7CHM_LIG_126482550,7CHM_LIG,-8.743,4,1,411.46,2.97,2,7,101.6,5.987,1029.35,CCOc1nc(Nc2ccc(C(=O)N3CCOC[C@H]3C)cc2OC)nc2[nH]ccc12,5.434,0.211,3682.44,low,0.47993652233053713,0.7061885482938115,0.5930625353121743
phase2_7CHM_LIG_142436063,7CHM_LIG,-9.536,3,0,449.43,3.85,3,6,91.51,5.971,1067.99,CNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.12,0.16,7578.04,moderate,0.30015869417365676,0.5245806824754193,0.412369688324538
phase2_7CHN_LIG_59442331,7CHN_LIG,-6.449,1,2,480.57,2.9,4,7,127.51,5.96,1096.77,CC(C)NC(=O)Nc1ccc2cc1OCC(=O)N(C)CCCN(C)Cc1c[nH]c3ncnc(c13)N2,4.797,0.211,15947.85,low,1.0,0.3377674956622323,0.6688837478311161
phase2_7CHM_LIG_155536065,7CHM_LIG,-9.103,3,1,411.46,2.97,2,7,101.6,5.954,1111.78,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCOCC2)c2cc[nH]c2n1,4.674,0.191,21180.57,moderate,0.39832237587848557,0.26662810873337206,0.33247524230592884
phase2_7CHM_LIG_140767798,7CHM_LIG,-8.525,1,0,438.46,4.23,2,6,96.73,5.953,1114.47,[C-]#[N+]c1c[nH]c2nc(Nc3ccc(C(=O)N4CCC(F)CC4)cc3OC)nc(OCC)c12,5.196,0.171,6361.49,moderate,0.5293584221265017,0.568536726431463,0.5489475742789824
phase2_7CHM_LIG_122490572,7CHM_LIG,-8.984,2,2,444.92,3.66,3,7,104.4,5.953,1113.15,CCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,5.269,0.305,5386.05,low,0.4253003854001359,0.6107576633892423,0.5180290243946891
phase2_7CHM_LIG_126482470,7CHM_LIG,-9.321,4,2,436.52,3.03,2,7,95.61,5.952,1116.99,CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@H]4C3)cc2OC)nc2[nH]ccc12,5.402,0.201,3958.24,low,0.34890047608252095,0.6876807403123193,0.5182906081974201
phase2_7CHM_LIG_118286279,7CHM_LIG,-8.84,3,1,436.52,3.03,2,7,95.61,5.952,1116.99,CCOc1nc(Nc2ccc(C(=O)N3CCN4CCC[C@@H]4C3)cc2OC)nc2[nH]ccc12,4.863,0.226,13708.03,low,0.4579460439809566,0.37593984962406035,0.4169429468025085
phase2_7CHM_LIG_142416387,7CHM_LIG,-8.98,2,0,477.49,3.55,3,7,98.41,5.947,1129.27,CCNc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.005,0.147,9890.54,moderate,0.4262072092496031,0.4580682475419316,0.44213772839576737
phase2_7CHM_LIG_118286387,7CHM_LIG,-9.254,2,0,438.53,3.28,2,7,95.61,5.947,1129.84,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC(C)C)nc2[nH]ccc12,5.499,0.111,3169.71,moderate,0.3640897755610973,0.7437825332562172,0.5539361544086573
phase2_7CHM_LIG_142416383,7CHM_LIG,-8.496,1,0,464.45,3.63,3,7,104.4,5.945,1135.54,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.614,0.272,24316.08,low,0.5359328950351393,0.2319259687680739,0.3839294319016066
phase2_7CHM_LIG_122490554,7CHM_LIG,-8.917,3,1,410.48,3.0,3,7,104.4,5.944,1137.3,CCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,5.017,0.282,9612.58,low,0.44048968487871226,0.4650086755349915,0.45274918020685184
phase2_7CHM_LIG_118286391,7CHM_LIG,-9.008,1,1,446.46,3.09,2,7,95.61,5.94,1148.92,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC(F)F)nc2[nH]ccc12,5.494,0.116,3207.96,moderate,0.41985944230333266,0.7408906882591091,0.5803750652812208
phase2_7CHM_LIG_142416325,7CHM_LIG,-8.381,3,1,450.42,3.24,3,7,104.4,5.906,1241.56,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.773,0.166,16862.42,moderate,0.5620040807073224,0.32388663967611314,0.4429453601917178
phase2_7CHM_LIG_117881522,7CHM_LIG,-9.632,3,1,478.48,3.39,2,8,114.49,5.902,1252.23,COc1cc(C(=O)N(C)C2COC2)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,4.654,0.096,22168.15,high,0.27839492178644293,0.2550607287449392,0.26672782526569105
phase2_7CHM_LIG_118286449,7CHM_LIG,-8.35,2,0,399.45,2.61,4,7,121.39,5.901,1254.91,CCOc1nc(Nc2ccc(C(=O)NCC(C)(C)O)cc2OC)nc2[nH]ccc12,4.754,0.155,17632.79,moderate,0.5690319655406937,0.3128976286871021,0.4409647971138979
phase2_7CHM_LIG_155558488,7CHM_LIG,-9.99,3,1,481.55,3.52,2,8,110.83,5.899,1262.54,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(O[C@H]2CCOC(C)(C)C2)c2cc[nH]c2n1,4.903,0.336,12516.01,low,0.19723418725912475,0.39907460960092506,0.2981543984300249
phase2_7CHM_LIG_155545935,7CHM_LIG,-9.696,3,0,409.49,4.12,2,6,92.37,5.897,1266.88,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCCCC2)c2cc[nH]c2n1,4.696,0.15,20156.08,moderate,0.2638857401949671,0.2793522267206476,0.27161898345780733
phase2_7CHM_LIG_155562324,7CHM_LIG,-9.228,2,2,395.46,3.73,2,6,92.37,5.892,1283.67,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCCC2)c2cc[nH]c2n1,4.704,0.136,19769.16,moderate,0.3699841305826343,0.28397917871602063,0.3269816546493275
phase2_7CHM_LIG_77847232,7CHM_LIG,-8.581,2,0,434.46,3.15,3,8,123.28,5.892,1282.78,CNC(=O)c1ccc(Nc2nc(OC)c3c(-c4ccc(OC)nc4)c[nH]c3n2)c(OC)c1,4.765,0.107,17198.39,moderate,0.5166628882339606,0.3192596876807401,0.4179612879573503
phase2_7CHM_LIG_122490553,7CHM_LIG,-8.516,4,2,426.48,2.24,3,8,113.63,5.89,1286.85,COCCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.817,0.154,15250.64,moderate,0.5313987757878031,0.3493348756506652,0.44036682571923413
phase2_7CHM_LIG_122490576,7CHM_LIG,-8.582,1,0,430.9,3.27,3,7,104.4,5.874,1335.74,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,5.041,0.29,9091.0,low,0.5164361822715935,0.47888953152111063,0.49766285689635203
phase2_7CHM_LIG_122490551,7CHM_LIG,-8.674,2,0,396.45,2.61,3,7,104.4,5.845,1427.43,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.834,0.209,14659.64,low,0.4955792337338472,0.3591671486408326,0.4273731911873399
phase2_7CHM_LIG_112499966,7CHM_LIG,-8.746,2,0,416.87,2.88,3,7,104.4,5.839,1449.18,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(Cl)c12,5.139,0.198,7265.16,moderate,0.4792564044434367,0.5355696934644304,0.5074130489539336
phase2_7CHM_LIG_122490552,7CHM_LIG,-8.693,2,1,382.42,2.22,3,7,104.4,5.829,1483.29,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.958,0.116,11021.72,moderate,0.4912718204488778,0.43088490456911516,0.4610783625089965
phase2_7CHM_LIG_118286448,7CHM_LIG,-8.516,2,0,465.43,3.6,2,7,101.6,5.821,1511.49,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.769,0.27,17040.46,low,0.5313987757878031,0.32157316367842687,0.42648596973311503
phase2_7CHM_LIG_57382890,7CHM_LIG,-7.815,1,0,365.44,2.67,2,5,83.14,5.806,1563.35,COc1cccc(C(=O)NC2CCN(c3ncnc4[nH]cc(C)c34)CC2)c1,4.791,0.142,16164.21,moderate,0.6903196554069371,0.3342972816657029,0.51230846853632
phase2_7CHM_LIG_118286277,7CHM_LIG,-9.012,4,1,450.54,3.28,2,7,95.61,5.782,1653.17,CCOc1nc(Nc2ccc(C(=O)N3CCC4(CC3)CN(C)C4)cc2OC)nc2[nH]ccc12,4.991,0.212,10212.96,low,0.41895261845386517,0.44997108155002863,0.4344618500019469
phase2_7CHM_LIG_117881541,7CHM_LIG,-9.579,2,0,436.45,3.62,2,7,105.26,5.78,1661.18,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,4.695,0.096,20164.25,high,0.2904103377918837,0.27877385772122626,0.284592097756555
phase2_7CHM_LIG_122490581,7CHM_LIG,-8.729,3,1,387.83,2.84,2,6,92.37,5.777,1670.63,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2c(Cl)c[nH]c2n1,5.214,0.294,6105.75,low,0.48311040580367276,0.5789473684210528,0.5310288871123627
phase2_7CHM_LIG_118286393,7CHM_LIG,-9.186,2,0,413.45,3.68,2,6,92.37,5.77,1697.47,CCOc1nc(Nc2ccc(C(=O)N3CCC(F)CC3)cc2OC)nc2[nH]ccc12,5.369,0.231,4271.88,low,0.3795057810020403,0.6685945633314052,0.5240501721667228
phase2_7CHN_LIG_145885842,7CHN_LIG,-7.543,1,0,297.32,2.67,3,5,91.93,5.751,1776.18,COc1cc(Nc2ncnc3[nH]ccc23)ccc1NC(C)=O,4.604,0.131,24901.1,moderate,0.7519836771707095,0.22614227877385773,0.4890629779722836
phase2_7CHM_LIG_155012431,7CHM_LIG,-8.535,2,0,492.5,4.41,3,7,104.4,5.749,1784.13,CCNc1nc(Nc2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.668,0.41,21470.05,low,0.5270913625028337,0.26315789473684215,0.39512462861983794
phase2_7CHT_LIG_141303240,7CHT_LIG,-7.889,1,0,325.37,2.55,2,6,75.3,5.677,2101.94,COc1cc(N2CCOCC2)ccc1Nc1ncc2cc[nH]c2n1,4.831,0.211,14749.45,low,0.6735434141917931,0.35743204164256814,0.5154877279171806
phase2_7CHM_LIG_118286428,7CHM_LIG,-8.737,3,0,397.44,2.58,2,7,101.6,5.649,2243.99,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.938,0.227,11538.49,low,0.48129675810473804,0.4193175245806822,0.4503071413427101
phase2_7CHM_LIG_117881546,7CHM_LIG,-9.63,3,0,450.47,3.93,2,7,105.26,5.648,2246.98,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC)c2c(-c3cc(C)nc(F)c3)c[nH]c2n1,4.713,0.136,19376.89,moderate,0.27884833371117634,0.2891844997108155,0.2840164167109959
phase2_7CHM_LIG_118286451,7CHM_LIG,-8.696,2,0,411.46,2.97,2,7,101.6,5.624,2378.66,CCOc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(OCC)c2cc[nH]c2n1,4.971,0.293,10687.92,low,0.49059170256177737,0.4384037015615963,0.46449770206168683
phase2_7CHM_LIG_118286467,7CHM_LIG,-8.794,1,0,410.48,2.5,2,7,95.61,5.623,2380.61,CCOc1nc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]ccc12,5.39,0.084,4078.19,high,0.4683745182498298,0.6807403123192595,0.5745574152845446
phase2_7CHM_LIG_118286459,7CHM_LIG,-8.792,2,0,424.51,2.89,2,7,95.61,5.619,2402.53,CCOc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1nc(OCC)c2cc[nH]c2n1,5.47,0.119,3391.36,moderate,0.46882793017456353,0.72700983227299,0.5979188812237768
phase2_7CHM_LIG_69920162,7CHM_LIG,-9.197,3,0,443.51,4.29,2,7,104.29,5.55,2815.38,COc1cc(-c2cn(C3CCOCC3)c3ncnc(N)c23)ccc1NC(=O)c1ccccc1,4.659,0.112,21937.05,moderate,0.37701201541600554,0.2579525737420473,0.31748229457902644
phase2_7CHM_LIG_122490555,7CHM_LIG,-8.841,2,0,383.41,2.19,2,7,101.6,5.538,2896.6,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(OC)c2cc[nH]c2n1,4.962,0.163,10903.37,moderate,0.45771933801858994,0.4331983805668014,0.4454588592926957
phase2_7CHM_LIG_122490550,7CHM_LIG,-8.793,1,0,353.38,2.18,2,6,92.37,5.502,3145.14,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2cc[nH]c2n1,5.028,0.353,9369.1,low,0.46860122421219685,0.47137073452862893,0.46998597937041287
phase2_7CHM_LIG_118286447,7CHM_LIG,-9.07,2,1,425.49,3.36,2,7,101.6,5.464,3431.71,CCOc1nc(Nc2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2OC)nc2[nH]ccc12,4.998,0.301,10053.81,low,0.4058036726365902,0.4540196645459804,0.42991166859128527
