ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CHN_LIG_155119022,7CHN_LIG,-9.431,3,0,473.58,5.09,3,7,118.96,7.027,93.93,CC(C)COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2c(C#N)c[nH]c2n1,5.423,0.169,3771.47,moderate,0.32396282022217193,0.6998264893001734,0.5118946547611727
phase2_7CHN_LIG_155119023,7CHN_LIG,-8.311,5,0,337.39,2.98,4,7,124.67,7.023,94.9,COc1cc(N)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,4.524,0.206,29933.16,low,0.5778734980729993,0.1798727588201272,0.37887312844656323
phase2_7CIL_LIG_166675729,7CIL_LIG,-8.856,3,1,344.4,2.22,4,7,95.48,7.007,98.36,CCn1cc(Nc2nc(N[C@H]3CN[C@@H](C)C3)c3c(F)c[nH]c3n2)cn1,5.361,0.336,4351.12,low,0.4543187485830877,0.6639676113360322,0.55914317995956
phase2_7CHM_LIG_142416410,7CHM_LIG,-9.689,2,1,451.46,2.77,3,8,128.19,6.996,100.92,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(NC2CC2)c2c(C#N)c[nH]c2n1,4.621,0.212,23946.64,low,0.26547268193153467,0.23597455176402565,0.25072361684778016
phase2_7CIL_LIG_142755084,7CIL_LIG,-8.776,3,1,374.88,3.12,4,7,95.48,6.982,104.16,CCn1cc(Nc2nc(N[C@@H]3CC[C@H](C)NC3)c3c(Cl)c[nH]c3n2)cn1,5.271,0.373,5355.23,low,0.4724552255724325,0.6119144013880855,0.542184813480259
phase2_7CIL_LIG_142755078,7CIL_LIG,-9.341,2,1,354.46,2.49,3,7,86.69,6.94,114.8,CCn1cc(Nc2nc(N(C)[C@@H]3CC[C@H](C)NC3)c3cc[nH]c3n2)cn1,4.907,0.223,12390.4,low,0.34436635683518485,0.4013880855986119,0.37287722121689837
phase2_7CHM_LIG_155012442,7CHM_LIG,-9.83,1,0,482.47,2.36,2,9,134.62,6.934,116.51,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(O[C@@H]2CCOC2)c2c(C#N)c[nH]c2n1,4.77,0.261,16968.89,low,0.23350714123781444,0.3221515326778482,0.2778293369578313
phase2_7CHM_LIG_148694189,7CHM_LIG,-9.686,2,0,482.47,2.36,2,9,134.62,6.934,116.51,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(O[C@H]2CCOC2)c2c(C#N)c[nH]c2n1,4.809,0.214,15514.47,low,0.26615279981863516,0.3447079236552921,0.30543036173696364
phase2_7CHN_LIG_155119024,7CHN_LIG,-8.551,3,1,351.41,3.23,4,7,124.67,6.908,123.52,COc1cc(N)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,4.914,0.258,12189.84,low,0.5234640671049647,0.40543666859456307,0.4644503678497639
phase2_7CIL_LIG_142416394,7CIL_LIG,-7.837,2,0,324.39,3.09,3,7,107.24,6.896,127.14,CCNc1nc(Nc2cn(C(C)C)nc2C)nc2[nH]cc(C#N)c12,4.585,0.162,25973.97,moderate,0.6853321242348673,0.21515326778484664,0.450242696009857
