ligand,affinity_kcal,output_file
phase2_7CHN_LIG_155109158,-9.339,docking/phase2_results/phase2_7CHN_LIG_155109158_out.pdbqt
phase2_7CHM_LIG_146393631,-9.338,docking/phase2_results/phase2_7CHM_LIG_146393631_out.pdbqt
phase2_7CHM_LIG_162614708,-9.327,docking/phase2_results/phase2_7CHM_LIG_162614708_out.pdbqt
phase2_7CHM_LIG_126482470,-9.321,docking/phase2_results/phase2_7CHM_LIG_126482470_out.pdbqt
phase2_7CHN_LIG_166866574,-9.309,docking/phase2_results/phase2_7CHN_LIG_166866574_out.pdbqt
phase2_7CHM_LIG_146393798,-9.307,docking/phase2_results/phase2_7CHM_LIG_146393798_out.pdbqt
phase2_7CHM_LIG_155012424,-9.29,docking/phase2_results/phase2_7CHM_LIG_155012424_out.pdbqt
phase2_7CHM_LIG_146393712,-9.283,docking/phase2_results/phase2_7CHM_LIG_146393712_out.pdbqt
phase2_7CHM_LIG_142436000,-9.272,docking/phase2_results/phase2_7CHM_LIG_142436000_out.pdbqt
phase2_7CHM_LIG_155012426,-9.27,docking/phase2_results/phase2_7CHM_LIG_155012426_out.pdbqt
phase2_7CHM_LIG_142416357,-9.259,docking/phase2_results/phase2_7CHM_LIG_142416357_out.pdbqt
phase2_7CHM_LIG_142436048,-9.255,docking/phase2_results/phase2_7CHM_LIG_142436048_out.pdbqt
phase2_7CHM_LIG_118286387,-9.254,docking/phase2_results/phase2_7CHM_LIG_118286387_out.pdbqt
phase2_7CHM_LIG_117881532,-9.249,docking/phase2_results/phase2_7CHM_LIG_117881532_out.pdbqt
phase2_7CHM_LIG_142416352,-9.241,docking/phase2_results/phase2_7CHM_LIG_142416352_out.pdbqt
phase2_7CHM_LIG_155562324,-9.228,docking/phase2_results/phase2_7CHM_LIG_155562324_out.pdbqt
phase2_7CHM_LIG_142436084,-9.228,docking/phase2_results/phase2_7CHM_LIG_142436084_out.pdbqt
phase2_7CHM_LIG_69920162,-9.197,docking/phase2_results/phase2_7CHM_LIG_69920162_out.pdbqt
phase2_7CHM_LIG_142416363,-9.197,docking/phase2_results/phase2_7CHM_LIG_142416363_out.pdbqt
phase2_7CHN_LIG_166866572,-9.196,docking/phase2_results/phase2_7CHN_LIG_166866572_out.pdbqt
phase2_7CHM_LIG_155012414,-9.196,docking/phase2_results/phase2_7CHM_LIG_155012414_out.pdbqt
phase2_7CHM_LIG_142435998,-9.194,docking/phase2_results/phase2_7CHM_LIG_142435998_out.pdbqt
phase2_7CHM_LIG_118286393,-9.186,docking/phase2_results/phase2_7CHM_LIG_118286393_out.pdbqt
phase2_7CHM_LIG_142436055,-9.159,docking/phase2_results/phase2_7CHM_LIG_142436055_out.pdbqt
phase2_7CHM_LIG_155012434,-9.158,docking/phase2_results/phase2_7CHM_LIG_155012434_out.pdbqt
phase2_7CHM_LIG_142416349,-9.149,docking/phase2_results/phase2_7CHM_LIG_142416349_out.pdbqt
phase2_7CIL_LIG_177211774,-9.146,docking/phase2_results/phase2_7CIL_LIG_177211774_out.pdbqt
phase2_7CHM_LIG_122490584,-9.138,docking/phase2_results/phase2_7CHM_LIG_122490584_out.pdbqt
phase2_7CHM_LIG_155022056,-9.121,docking/phase2_results/phase2_7CHM_LIG_155022056_out.pdbqt
phase2_7CHM_LIG_146393706,-9.114,docking/phase2_results/phase2_7CHM_LIG_146393706_out.pdbqt
phase2_7CHM_LIG_146393636,-9.105,docking/phase2_results/phase2_7CHM_LIG_146393636_out.pdbqt
phase2_7CHM_LIG_155536065,-9.103,docking/phase2_results/phase2_7CHM_LIG_155536065_out.pdbqt
phase2_7CHM_LIG_142436018,-9.1,docking/phase2_results/phase2_7CHM_LIG_142436018_out.pdbqt
phase2_7CHM_LIG_142436062,-9.095,docking/phase2_results/phase2_7CHM_LIG_142436062_out.pdbqt
phase2_7CHN_LIG_155691506,-9.093,docking/phase2_results/phase2_7CHN_LIG_155691506_out.pdbqt
phase2_7CIL_LIG_175716355,-9.089,docking/phase2_results/phase2_7CIL_LIG_175716355_out.pdbqt
phase2_7CIL_LIG_155928385,-9.079,docking/phase2_results/phase2_7CIL_LIG_155928385_out.pdbqt
phase2_7CHN_LIG_155118967,-9.071,docking/phase2_results/phase2_7CHN_LIG_155118967_out.pdbqt
phase2_7CHM_LIG_118286447,-9.07,docking/phase2_results/phase2_7CHM_LIG_118286447_out.pdbqt
phase2_7CHN_LIG_166866573,-9.067,docking/phase2_results/phase2_7CHN_LIG_166866573_out.pdbqt
phase2_7CIL_LIG_142416310,-9.064,docking/phase2_results/phase2_7CIL_LIG_142416310_out.pdbqt
phase2_7CHN_LIG_155109155,-9.063,docking/phase2_results/phase2_7CHN_LIG_155109155_out.pdbqt
phase2_7CHN_LIG_155691548,-9.06,docking/phase2_results/phase2_7CHN_LIG_155691548_out.pdbqt
phase2_7CHM_LIG_118286277,-9.012,docking/phase2_results/phase2_7CHM_LIG_118286277_out.pdbqt
phase2_7CHM_LIG_118286391,-9.008,docking/phase2_results/phase2_7CHM_LIG_118286391_out.pdbqt
phase2_7CHM_LIG_146393608,-8.996,docking/phase2_results/phase2_7CHM_LIG_146393608_out.pdbqt
phase2_7CHM_LIG_122490572,-8.984,docking/phase2_results/phase2_7CHM_LIG_122490572_out.pdbqt
phase2_7CHM_LIG_142416387,-8.98,docking/phase2_results/phase2_7CHM_LIG_142416387_out.pdbqt
phase2_7CIL_LIG_166673091,-8.971,docking/phase2_results/phase2_7CIL_LIG_166673091_out.pdbqt
phase2_7CHN_LIG_155118908,-8.956,docking/phase2_results/phase2_7CHN_LIG_155118908_out.pdbqt
phase2_7CIL_LIG_141725056,-8.948,docking/phase2_results/phase2_7CIL_LIG_141725056_out.pdbqt
phase2_7CHM_LIG_142436036,-8.928,docking/phase2_results/phase2_7CHM_LIG_142436036_out.pdbqt
phase2_7CHM_LIG_118286352,-8.927,docking/phase2_results/phase2_7CHM_LIG_118286352_out.pdbqt
phase2_7CIL_LIG_166635463,-8.925,docking/phase2_results/phase2_7CIL_LIG_166635463_out.pdbqt
phase2_7CIL_LIG_129275413,-8.922,docking/phase2_results/phase2_7CIL_LIG_129275413_out.pdbqt
phase2_7CHM_LIG_122490554,-8.917,docking/phase2_results/phase2_7CHM_LIG_122490554_out.pdbqt
phase2_7CHM_LIG_146290574,-8.906,docking/phase2_results/phase2_7CHM_LIG_146290574_out.pdbqt
phase2_7CHM_LIG_118286384,-8.899,docking/phase2_results/phase2_7CHM_LIG_118286384_out.pdbqt
phase2_7CHM_LIG_122457166,-8.898,docking/phase2_results/phase2_7CHM_LIG_122457166_out.pdbqt
phase2_7CHN_LIG_155691527,-8.898,docking/phase2_results/phase2_7CHN_LIG_155691527_out.pdbqt
phase2_7CHN_LIG_164091414,-8.898,docking/phase2_results/phase2_7CHN_LIG_164091414_out.pdbqt
phase2_7CHN_LIG_166866595,-8.89,docking/phase2_results/phase2_7CHN_LIG_166866595_out.pdbqt
phase2_7CHM_LIG_142416326,-8.884,docking/phase2_results/phase2_7CHM_LIG_142416326_out.pdbqt
phase2_7CHM_LIG_122490585,-8.883,docking/phase2_results/phase2_7CHM_LIG_122490585_out.pdbqt
phase2_7CHM_LIG_155022157,-8.882,docking/phase2_results/phase2_7CHM_LIG_155022157_out.pdbqt
phase2_7CIL_LIG_166675729,-8.856,docking/phase2_results/phase2_7CIL_LIG_166675729_out.pdbqt
phase2_7CHM_LIG_122490555,-8.841,docking/phase2_results/phase2_7CHM_LIG_122490555_out.pdbqt
phase2_7CHM_LIG_118286279,-8.84,docking/phase2_results/phase2_7CHM_LIG_118286279_out.pdbqt
phase2_7CIL_LIG_142416390,-8.84,docking/phase2_results/phase2_7CIL_LIG_142416390_out.pdbqt
phase2_7CHN_LIG_166866571,-8.83,docking/phase2_results/phase2_7CHN_LIG_166866571_out.pdbqt
phase2_7CHN_LIG_155119010,-8.828,docking/phase2_results/phase2_7CHN_LIG_155119010_out.pdbqt
phase2_7CIL_LIG_129244941,-8.822,docking/phase2_results/phase2_7CIL_LIG_129244941_out.pdbqt
phase2_7CHN_LIG_155119025,-8.82,docking/phase2_results/phase2_7CHN_LIG_155119025_out.pdbqt
phase2_7CHM_LIG_118286440,-8.814,docking/phase2_results/phase2_7CHM_LIG_118286440_out.pdbqt
phase2_7CIL_LIG_141725010,-8.813,docking/phase2_results/phase2_7CIL_LIG_141725010_out.pdbqt
phase2_7CHM_LIG_118286345,-8.812,docking/phase2_results/phase2_7CHM_LIG_118286345_out.pdbqt
phase2_7CIL_LIG_155621801,-8.811,docking/phase2_results/phase2_7CIL_LIG_155621801_out.pdbqt
phase2_7CHM_LIG_142436020,-8.808,docking/phase2_results/phase2_7CHM_LIG_142436020_out.pdbqt
phase2_7CIL_LIG_129244943,-8.806,docking/phase2_results/phase2_7CIL_LIG_129244943_out.pdbqt
phase2_7CHM_LIG_118286467,-8.794,docking/phase2_results/phase2_7CHM_LIG_118286467_out.pdbqt
phase2_7CHM_LIG_122490550,-8.793,docking/phase2_results/phase2_7CHM_LIG_122490550_out.pdbqt
phase2_7CHM_LIG_118286459,-8.792,docking/phase2_results/phase2_7CHM_LIG_118286459_out.pdbqt
phase2_7CHM_LIG_148534597,-8.777,docking/phase2_results/phase2_7CHM_LIG_148534597_out.pdbqt
phase2_7CIL_LIG_142755084,-8.776,docking/phase2_results/phase2_7CIL_LIG_142755084_out.pdbqt
phase2_7CHM_LIG_112499966,-8.746,docking/phase2_results/phase2_7CHM_LIG_112499966_out.pdbqt
phase2_7CHM_LIG_126482550,-8.743,docking/phase2_results/phase2_7CHM_LIG_126482550_out.pdbqt
phase2_7CHM_LIG_118286428,-8.737,docking/phase2_results/phase2_7CHM_LIG_118286428_out.pdbqt
phase2_7CHM_LIG_122490581,-8.729,docking/phase2_results/phase2_7CHM_LIG_122490581_out.pdbqt
phase2_7CHM_LIG_146329790,-8.728,docking/phase2_results/phase2_7CHM_LIG_146329790_out.pdbqt
phase2_7CIL_LIG_142416385,-8.727,docking/phase2_results/phase2_7CIL_LIG_142416385_out.pdbqt
phase2_7CHM_LIG_118286451,-8.696,docking/phase2_results/phase2_7CHM_LIG_118286451_out.pdbqt
phase2_7CHM_LIG_122490552,-8.693,docking/phase2_results/phase2_7CHM_LIG_122490552_out.pdbqt
phase2_7CHM_LIG_122490551,-8.674,docking/phase2_results/phase2_7CHM_LIG_122490551_out.pdbqt
phase2_7CIL_LIG_129266648,-8.671,docking/phase2_results/phase2_7CIL_LIG_129266648_out.pdbqt
phase2_7CIL_LIG_145336712,-8.62,docking/phase2_results/phase2_7CIL_LIG_145336712_out.pdbqt
phase2_7CIL_LIG_158224339,-8.609,docking/phase2_results/phase2_7CIL_LIG_158224339_out.pdbqt
phase2_7CHM_LIG_57383019,-8.605,docking/phase2_results/phase2_7CHM_LIG_57383019_out.pdbqt
phase2_7CHM_LIG_142416414,-8.605,docking/phase2_results/phase2_7CHM_LIG_142416414_out.pdbqt
phase2_7CHM_LIG_146312779,-8.605,docking/phase2_results/phase2_7CHM_LIG_146312779_out.pdbqt
phase2_7CIL_LIG_142416321,-8.6,docking/phase2_results/phase2_7CIL_LIG_142416321_out.pdbqt
phase2_7CHM_LIG_122490576,-8.582,docking/phase2_results/phase2_7CHM_LIG_122490576_out.pdbqt
phase2_7CHM_LIG_77847232,-8.581,docking/phase2_results/phase2_7CHM_LIG_77847232_out.pdbqt
phase2_7CIL_LIG_142416379,-8.571,docking/phase2_results/phase2_7CIL_LIG_142416379_out.pdbqt
phase2_7CIL_LIG_129266632,-8.558,docking/phase2_results/phase2_7CIL_LIG_129266632_out.pdbqt
phase2_7CIL_LIG_142416413,-8.553,docking/phase2_results/phase2_7CIL_LIG_142416413_out.pdbqt
phase2_7CHN_LIG_155119024,-8.551,docking/phase2_results/phase2_7CHN_LIG_155119024_out.pdbqt
phase2_7CHM_LIG_142436022,-8.546,docking/phase2_results/phase2_7CHM_LIG_142436022_out.pdbqt
phase2_7CIL_LIG_142416303,-8.54,docking/phase2_results/phase2_7CIL_LIG_142416303_out.pdbqt
phase2_7CHM_LIG_155012431,-8.535,docking/phase2_results/phase2_7CHM_LIG_155012431_out.pdbqt
phase2_7CHM_LIG_140767798,-8.525,docking/phase2_results/phase2_7CHM_LIG_140767798_out.pdbqt
phase2_7CHM_LIG_118286448,-8.516,docking/phase2_results/phase2_7CHM_LIG_118286448_out.pdbqt
phase2_7CHM_LIG_122490553,-8.516,docking/phase2_results/phase2_7CHM_LIG_122490553_out.pdbqt
phase2_7CHM_LIG_142416383,-8.496,docking/phase2_results/phase2_7CHM_LIG_142416383_out.pdbqt
phase2_7CHM_LIG_142436060,-8.476,docking/phase2_results/phase2_7CHM_LIG_142436060_out.pdbqt
phase2_7CHN_LIG_155118972,-8.448,docking/phase2_results/phase2_7CHN_LIG_155118972_out.pdbqt
phase2_7CIL_LIG_157996794,-8.383,docking/phase2_results/phase2_7CIL_LIG_157996794_out.pdbqt
phase2_7CHM_LIG_142416325,-8.381,docking/phase2_results/phase2_7CHM_LIG_142416325_out.pdbqt
phase2_7CHM_LIG_118286449,-8.35,docking/phase2_results/phase2_7CHM_LIG_118286449_out.pdbqt
phase2_7CIL_LIG_127046342,-8.333,docking/phase2_results/phase2_7CIL_LIG_127046342_out.pdbqt
phase2_7CIL_LIG_142416376,-8.311,docking/phase2_results/phase2_7CIL_LIG_142416376_out.pdbqt
phase2_7CHN_LIG_155119023,-8.311,docking/phase2_results/phase2_7CHN_LIG_155119023_out.pdbqt
phase2_7CHM_LIG_142436016,-8.254,docking/phase2_results/phase2_7CHM_LIG_142436016_out.pdbqt
phase2_7CHM_LIG_142436085,-8.082,docking/phase2_results/phase2_7CHM_LIG_142436085_out.pdbqt
phase2_7CIL_LIG_127048092,-8.062,docking/phase2_results/phase2_7CIL_LIG_127048092_out.pdbqt
phase2_7CHN_LIG_155118969,-7.994,docking/phase2_results/phase2_7CHN_LIG_155118969_out.pdbqt
phase2_7CHM_LIG_155532159,-7.976,docking/phase2_results/phase2_7CHM_LIG_155532159_out.pdbqt
phase2_7CIL_LIG_155022217,-7.976,docking/phase2_results/phase2_7CIL_LIG_155022217_out.pdbqt
phase2_7CIL_LIG_146851006,-7.97,docking/phase2_results/phase2_7CIL_LIG_146851006_out.pdbqt
phase2_7CIL_LIG_142416375,-7.961,docking/phase2_results/phase2_7CIL_LIG_142416375_out.pdbqt
phase2_7CHT_LIG_141303240,-7.889,docking/phase2_results/phase2_7CHT_LIG_141303240_out.pdbqt
phase2_7CIL_LIG_151591358,-7.855,docking/phase2_results/phase2_7CIL_LIG_151591358_out.pdbqt
phase2_7CIL_LIG_142416394,-7.837,docking/phase2_results/phase2_7CIL_LIG_142416394_out.pdbqt
phase2_7CHN_LIG_155118918,-7.83,docking/phase2_results/phase2_7CHN_LIG_155118918_out.pdbqt
phase2_7CHM_LIG_57382890,-7.815,docking/phase2_results/phase2_7CHM_LIG_57382890_out.pdbqt
phase2_7CIL_LIG_155022147,-7.706,docking/phase2_results/phase2_7CIL_LIG_155022147_out.pdbqt
phase2_7CIL_LIG_155022106,-7.688,docking/phase2_results/phase2_7CIL_LIG_155022106_out.pdbqt
phase2_7CIL_LIG_142416409,-7.647,docking/phase2_results/phase2_7CIL_LIG_142416409_out.pdbqt
phase2_7CIL_LIG_127046344,-7.632,docking/phase2_results/phase2_7CIL_LIG_127046344_out.pdbqt
phase2_7CIL_LIG_142416408,-7.556,docking/phase2_results/phase2_7CIL_LIG_142416408_out.pdbqt
phase2_7CHN_LIG_145885842,-7.543,docking/phase2_results/phase2_7CHN_LIG_145885842_out.pdbqt
phase2_7CIL_LIG_157996792,-7.521,docking/phase2_results/phase2_7CIL_LIG_157996792_out.pdbqt
phase2_7CIL_LIG_142416341,-7.489,docking/phase2_results/phase2_7CIL_LIG_142416341_out.pdbqt
phase2_7CIL_LIG_127046343,-7.469,docking/phase2_results/phase2_7CIL_LIG_127046343_out.pdbqt
phase2_7CHM_LIG_146393630,-7.116,docking/phase2_results/phase2_7CHM_LIG_146393630_out.pdbqt
phase2_7CHM_LIG_146393701,-7.025,docking/phase2_results/phase2_7CHM_LIG_146393701_out.pdbqt
phase2_7CHM_LIG_146393637,-6.956,docking/phase2_results/phase2_7CHM_LIG_146393637_out.pdbqt
phase2_7CHN_LIG_59442199,-6.531,docking/phase2_results/phase2_7CHN_LIG_59442199_out.pdbqt
phase2_7CHN_LIG_59442331,-6.449,docking/phase2_results/phase2_7CHN_LIG_59442331_out.pdbqt
phase2_7CHN_LIG_59442256,-6.195,docking/phase2_results/phase2_7CHN_LIG_59442256_out.pdbqt
phase2_7CHT_LIG_59442463,-5.848,docking/phase2_results/phase2_7CHT_LIG_59442463_out.pdbqt
phase2_7CHT_LIG_59442251,-5.775,docking/phase2_results/phase2_7CHT_LIG_59442251_out.pdbqt
phase2_7CHT_LIG_59442153,-5.158,docking/phase2_results/phase2_7CHT_LIG_59442153_out.pdbqt
phase2_7CHT_LIG_59442206,-4.96,docking/phase2_results/phase2_7CHT_LIG_59442206_out.pdbqt
phase2_7CHN_LIG_59442381,-4.931,docking/phase2_results/phase2_7CHN_LIG_59442381_out.pdbqt
phase2_7CHN_LIG_59442282,-4.924,docking/phase2_results/phase2_7CHN_LIG_59442282_out.pdbqt
phase2_7CHN_LIG_59442320,-4.87,docking/phase2_results/phase2_7CHN_LIG_59442320_out.pdbqt
phase2_7CHN_LIG_59442343,-4.834,docking/phase2_results/phase2_7CHN_LIG_59442343_out.pdbqt
phase2_7CHT_LIG_59442269,-4.372,docking/phase2_results/phase2_7CHT_LIG_59442269_out.pdbqt
