ligand,affinity_kcal,gly605_contacts,glu603_contacts,total_contacts,binds_hinge
phase2_7CHM_LIG_122490555,-8.841,0,0,0,False
phase2_7CHM_LIG_118286279,-8.84,5,2,7,True
phase2_7CIL_LIG_142416390,-8.84,5,2,7,True
phase2_7CHN_LIG_166866571,-8.83,4,2,6,True
phase2_7CHN_LIG_155119010,-8.828,4,2,6,True
phase2_7CIL_LIG_129244941,-8.822,5,2,7,True
phase2_7CHN_LIG_155119025,-8.82,4,2,6,True
phase2_7CHM_LIG_118286440,-8.814,5,2,7,True
phase2_7CIL_LIG_141725010,-8.813,4,2,6,True
phase2_7CHM_LIG_118286345,-8.812,4,2,6,True
phase2_7CIL_LIG_155621801,-8.811,4,2,6,True
phase2_7CHM_LIG_142436020,-8.808,2,0,2,True
phase2_7CIL_LIG_129244943,-8.806,5,2,7,True
phase2_7CHM_LIG_118286467,-8.794,0,0,0,False
phase2_7CHM_LIG_122490550,-8.793,1,0,1,True
phase2_7CHM_LIG_118286459,-8.792,0,0,0,False
phase2_7CHM_LIG_148534597,-8.777,5,0,5,True
phase2_7CIL_LIG_142755084,-8.776,4,2,6,True
phase2_7CHM_LIG_112499966,-8.746,4,2,6,True
phase2_7CHM_LIG_126482550,-8.743,4,2,6,True
phase2_7CHM_LIG_118286428,-8.737,5,2,7,True
phase2_7CHM_LIG_122490581,-8.729,5,2,7,True
phase2_7CHM_LIG_146329790,-8.728,3,2,5,True
phase2_7CIL_LIG_142416385,-8.727,4,2,6,True
phase2_7CHM_LIG_118286451,-8.696,1,0,1,True
phase2_7CHM_LIG_122490552,-8.693,5,2,7,True
phase2_7CHM_LIG_122490551,-8.674,4,2,6,True
phase2_7CIL_LIG_129266648,-8.671,5,2,7,True
phase2_7CIL_LIG_145336712,-8.62,4,2,6,True
phase2_7CIL_LIG_158224339,-8.609,3,0,3,True
phase2_7CHM_LIG_57383019,-8.605,3,0,3,True
phase2_7CHM_LIG_142416414,-8.605,5,0,5,True
phase2_7CHM_LIG_146312779,-8.605,0,0,0,False
phase2_7CIL_LIG_142416321,-8.6,4,2,6,True
phase2_7CHM_LIG_122490576,-8.582,4,2,6,True
phase2_7CHM_LIG_77847232,-8.581,0,0,0,False
phase2_7CIL_LIG_142416379,-8.571,0,0,0,False
phase2_7CIL_LIG_129266632,-8.558,5,2,7,True
phase2_7CIL_LIG_142416413,-8.553,1,0,1,True
phase2_7CHN_LIG_155119024,-8.551,4,2,6,True
phase2_7CHM_LIG_142436022,-8.546,0,0,0,False
phase2_7CIL_LIG_142416303,-8.54,1,0,1,True
phase2_7CHM_LIG_155012431,-8.535,5,0,5,True
phase2_7CHM_LIG_140767798,-8.525,1,0,1,True
phase2_7CHM_LIG_118286448,-8.516,0,0,0,False
phase2_7CHM_LIG_122490553,-8.516,4,2,6,True
phase2_7CHM_LIG_142416383,-8.496,0,0,0,False
phase2_7CHM_LIG_142436060,-8.476,5,0,5,True
phase2_7CHN_LIG_155118972,-8.448,4,2,6,True
phase2_7CIL_LIG_157996794,-8.383,1,0,1,True
phase2_7CHM_LIG_142416325,-8.381,5,0,5,True
phase2_7CHM_LIG_118286449,-8.35,4,2,6,True
phase2_7CIL_LIG_127046342,-8.333,3,0,3,True
phase2_7CIL_LIG_142416376,-8.311,1,0,1,True
phase2_7CHN_LIG_155119023,-8.311,4,2,6,True
phase2_7CHM_LIG_142436016,-8.254,1,0,1,True
phase2_7CHM_LIG_142436085,-8.082,3,0,3,True
phase2_7CIL_LIG_127048092,-8.062,3,0,3,True
phase2_7CHN_LIG_155118969,-7.994,0,0,0,False
phase2_7CHM_LIG_155532159,-7.976,3,0,3,True
phase2_7CIL_LIG_155022217,-7.976,4,2,6,True
phase2_7CIL_LIG_146851006,-7.97,2,0,2,True
phase2_7CIL_LIG_142416375,-7.961,4,2,6,True
phase2_7CHT_LIG_141303240,-7.889,0,0,0,False
phase2_7CIL_LIG_151591358,-7.855,5,2,7,True
phase2_7CIL_LIG_142416394,-7.837,1,0,1,True
phase2_7CHN_LIG_155118918,-7.83,1,0,1,True
phase2_7CHM_LIG_57382890,-7.815,0,0,0,False
phase2_7CIL_LIG_155022147,-7.706,4,2,6,True
phase2_7CIL_LIG_155022106,-7.688,4,2,6,True
phase2_7CIL_LIG_142416409,-7.647,0,0,0,False
phase2_7CIL_LIG_127046344,-7.632,0,0,0,False
phase2_7CIL_LIG_142416408,-7.556,0,0,0,False
phase2_7CHN_LIG_145885842,-7.543,0,0,0,False
phase2_7CIL_LIG_157996792,-7.521,4,2,6,True
phase2_7CIL_LIG_142416341,-7.489,5,2,7,True
phase2_7CIL_LIG_127046343,-7.469,0,0,0,False
phase2_7CHM_LIG_146393630,-7.116,4,2,6,True
phase2_7CHM_LIG_146393701,-7.025,2,0,2,True
phase2_7CHM_LIG_146393637,-6.956,2,0,2,True
phase2_7CHN_LIG_59442199,-6.531,3,1,4,True
phase2_7CHN_LIG_59442331,-6.449,5,1,6,True
phase2_7CHN_LIG_59442256,-6.195,2,0,2,True
phase2_7CHT_LIG_59442463,-5.848,0,0,0,False
phase2_7CHT_LIG_59442251,-5.775,0,0,0,False
phase2_7CHT_LIG_59442153,-5.158,0,0,0,False
phase2_7CHT_LIG_59442206,-4.96,0,0,0,False
phase2_7CHN_LIG_59442381,-4.931,0,0,0,False
phase2_7CHN_LIG_59442282,-4.924,0,0,0,False
phase2_7CHN_LIG_59442320,-4.87,0,0,0,False
phase2_7CHN_LIG_59442343,-4.834,0,0,0,False
phase2_7CHT_LIG_59442269,-4.372,0,0,0,False
