ligand,affinity_kcal,binds_hinge,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings,passes_ro5,ro5_violations,passes_tpsa,passes_rotbonds,has_pains,pains_alerts,passes_adme
phase2_7CIL_LIG_175716355,-9.089,True,2,1,360.85,2.64,4,7,95.48,4,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155928385,-9.079,True,1,0,351.42,1.89,2,9,113.61,3,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118967,-9.071,True,3,1,362.44,4.12,4,6,111.78,5,27,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286447,-9.07,True,2,1,425.49,3.36,2,7,101.6,6,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866573,-9.067,True,4,1,421.46,2.85,4,8,139.19,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109155,-9.063,True,4,1,420.4,3.9,3,6,95.17,5,30,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691548,-9.06,True,4,1,449.52,3.55,3,8,128.19,8,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286277,-9.012,True,4,1,450.54,3.28,2,7,95.61,6,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286391,-9.008,True,1,1,446.46,3.09,2,7,95.61,7,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393608,-8.996,True,3,0,461.44,4.08,2,6,92.37,5,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490572,-8.984,True,2,2,444.92,3.66,3,7,104.4,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416387,-8.98,True,2,0,477.49,3.55,3,7,98.41,6,34,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166673091,-8.971,True,3,1,330.37,1.74,4,7,95.48,4,24,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118908,-8.956,True,4,1,365.44,3.62,4,7,124.67,5,27,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_141725056,-8.948,True,4,1,358.43,2.47,4,7,95.48,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436036,-8.928,True,2,0,462.48,3.76,3,6,85.52,5,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286352,-8.927,True,1,0,425.49,3.36,2,7,101.6,7,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166635463,-8.925,True,2,0,337.39,1.88,3,8,124.47,3,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129275413,-8.922,True,2,0,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490554,-8.917,True,3,1,410.48,3.0,3,7,104.4,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146290574,-8.906,True,2,0,475.47,4.38,3,6,91.51,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286384,-8.899,True,3,0,411.46,2.97,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691527,-8.898,True,1,0,432.49,3.52,3,9,125.7,8,32,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_164091414,-8.898,True,1,0,432.49,3.52,3,9,125.7,8,32,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866595,-8.89,True,1,0,407.48,3.32,4,8,122.12,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416326,-8.884,True,2,1,495.48,3.69,3,7,98.41,5,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490585,-8.883,True,2,0,400.41,2.36,3,7,104.4,5,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155022157,-8.882,True,2,0,484.43,4.64,3,6,95.17,5,34,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166675729,-8.856,True,3,1,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490555,-8.841,True,2,0,383.41,2.19,2,7,101.6,5,28,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286279,-8.84,True,3,1,436.52,3.03,2,7,95.61,6,32,5,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416390,-8.84,True,3,0,369.82,3.11,3,8,131.03,5,26,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866571,-8.83,True,4,0,451.53,3.34,4,9,131.35,8,33,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119010,-8.828,True,5,2,418.46,3.13,3,9,125.7,8,31,4,4,True,0,True,True,False,0,True
phase2_7CIL_LIG_129244941,-8.822,True,3,1,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119025,-8.82,True,3,1,421.51,3.71,4,8,122.12,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286440,-8.814,True,3,0,415.43,2.72,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_141725010,-8.813,True,4,3,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286345,-8.812,True,3,0,428.47,2.64,2,7,95.61,6,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155621801,-8.811,True,5,1,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436020,-8.808,True,2,0,494.49,4.29,3,6,85.52,5,35,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129244943,-8.806,True,2,0,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286467,-8.794,True,1,0,410.48,2.5,2,7,95.61,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490550,-8.793,True,1,0,353.38,2.18,2,6,92.37,4,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286459,-8.792,True,2,0,424.51,2.89,2,7,95.61,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_148534597,-8.777,True,3,1,489.5,3.69,3,7,98.41,6,35,5,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142755084,-8.776,True,3,1,374.88,3.12,4,7,95.48,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_112499966,-8.746,True,2,0,416.87,2.88,3,7,104.4,5,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_126482550,-8.743,True,4,1,411.46,2.97,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286428,-8.737,True,3,0,397.44,2.58,2,7,101.6,6,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490581,-8.729,True,3,1,387.83,2.84,2,6,92.37,4,27,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146329790,-8.728,True,3,2,496.54,2.75,2,8,115.74,9,36,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416385,-8.727,True,3,0,350.43,3.62,3,7,107.24,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286451,-8.696,True,2,0,411.46,2.97,2,7,101.6,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490552,-8.693,True,2,1,382.42,2.22,3,7,104.4,5,28,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490551,-8.674,True,2,0,396.45,2.61,3,7,104.4,6,29,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129266648,-8.671,True,3,1,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_145336712,-8.62,True,2,0,336.4,3.17,3,7,107.24,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_158224339,-8.609,True,2,0,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_57383019,-8.605,True,1,0,464.57,2.38,2,7,95.61,7,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416414,-8.605,True,2,1,478.48,4.02,3,7,104.4,6,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146312779,-8.605,True,3,0,494.49,4.29,3,6,85.52,5,35,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416321,-8.6,True,2,0,369.82,3.11,3,8,131.03,5,26,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490576,-8.582,True,1,0,430.9,3.27,3,7,104.4,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_77847232,-8.581,True,2,0,434.46,3.15,3,8,123.28,7,32,4,4,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416379,-8.571,True,3,1,322.38,2.58,3,7,107.24,4,24,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129266632,-8.558,True,3,1,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416413,-8.553,True,2,0,350.43,3.62,3,7,107.24,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119024,-8.551,True,3,1,351.41,3.23,4,7,124.67,6,26,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436022,-8.546,True,2,0,463.46,4.24,3,6,91.51,6,33,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416303,-8.54,True,2,1,322.38,2.58,3,7,107.24,4,24,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012431,-8.535,True,2,0,492.5,4.41,3,7,104.4,6,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_140767798,-8.525,True,1,0,438.46,4.23,2,6,96.73,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286448,-8.516,True,2,0,465.43,3.6,2,7,101.6,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490553,-8.516,True,4,2,426.48,2.24,3,8,113.63,8,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416383,-8.496,True,1,0,464.45,3.63,3,7,104.4,6,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436060,-8.476,True,5,2,493.49,3.86,3,7,100.74,8,35,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118972,-8.448,True,2,1,381.44,3.0,4,8,133.9,7,28,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416325,-8.381,True,3,1,450.42,3.24,3,7,104.4,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286449,-8.35,True,2,0,399.45,2.61,4,7,121.39,8,29,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127046342,-8.333,True,2,0,335.42,3.93,2,6,95.21,5,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416376,-8.311,True,2,0,335.38,2.38,3,8,131.03,4,25,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119023,-8.311,True,5,0,337.39,2.98,4,7,124.67,5,25,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436016,-8.254,True,1,0,482.52,2.88,2,8,115.74,8,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436085,-8.082,True,2,0,450.5,2.72,3,8,124.53,8,33,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127048092,-8.062,True,1,0,321.39,3.54,2,6,95.21,5,24,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118969,-7.994,True,1,1,351.37,1.97,4,8,133.9,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155532159,-7.976,True,1,0,369.43,3.2,2,6,92.37,6,27,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022217,-7.976,True,2,0,310.37,2.7,3,7,107.24,4,23,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_146851006,-7.97,True,2,0,310.37,2.7,3,7,107.24,4,23,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416375,-7.961,True,2,1,324.39,3.09,3,7,107.24,5,24,3,3,True,0,True,True,False,0,True
phase2_7CHT_LIG_141303240,-7.889,True,1,0,325.37,2.55,2,6,75.3,4,24,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_151591358,-7.855,True,3,1,282.31,1.74,3,7,107.24,4,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416394,-7.837,True,2,0,324.39,3.09,3,7,107.24,5,24,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118918,-7.83,True,3,1,487.56,4.61,3,8,128.19,5,36,6,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_57382890,-7.815,True,1,0,365.44,2.67,2,5,83.14,4,27,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022147,-7.706,True,3,1,282.31,1.66,3,7,107.24,3,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022106,-7.688,True,2,1,282.31,1.66,3,7,107.24,3,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416409,-7.647,True,1,0,296.34,2.05,3,7,107.24,4,22,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127046344,-7.632,True,2,0,307.36,3.08,2,6,95.21,4,23,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416408,-7.556,True,2,0,296.34,2.05,3,7,107.24,4,22,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_145885842,-7.543,True,1,0,297.32,2.67,3,5,91.93,4,22,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_157996792,-7.521,True,2,0,271.33,2.09,3,6,83.45,3,20,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416341,-7.489,True,2,0,312.34,1.19,4,8,127.47,6,23,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127046343,-7.469,True,1,0,321.39,3.47,2,6,95.21,4,24,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393630,-7.116,True,4,2,464.5,3.85,2,7,116.16,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393701,-7.025,True,2,1,463.51,4.46,2,6,103.27,5,34,5,3,True,0,True,True,False,0,True
