assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394164,nM,6.0,uM,0.006,6.0,8.221848749616356
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394165,nM,18.0,uM,0.018,18.0,7.7447274948966935
CHEMBL3395659,CCOc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394166,nM,22.0,uM,0.022,22.0,7.657577319177793
CHEMBL3395659,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394167,nM,10.0,uM,0.01,10.0,8.0
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(OC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394168,nM,41.0,uM,0.041,41.0,7.3872161432802645
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(OC5CCCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394169,nM,114.0,uM,0.114,114.0,6.943095148663527
CHEMBL3395659,CCOc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394170,nM,28.0,uM,0.028,28.0,7.552841968657781
CHEMBL3395659,CC(C)Oc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394171,nM,17.0,uM,0.017,17.0,7.769551078621726
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(OC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394172,nM,25.0,uM,0.025,25.0,7.6020599913279625
CHEMBL3395659,CC(C)Oc1cnc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)cn1,CHEMBL3393014,CHEMBL3394173,nM,1290.0,uM,1.29,1290.0,5.889410289700751
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394067,nM,7570.0,uM,7.57,7570.0,5.120904120499927
CHEMBL3395662,CC(C)Nc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394068,nM,2190.0,uM,2.19,2190.0,5.6595558851598815
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(NC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394069,nM,3090.0,uM,3.09,3090.0,5.510041520575165
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394072,nM,12100.0,uM,12.1,12100.0,4.91721462968355
