smiles,pIC50,IC50_nM,source,activity_type,chembl_id,MW,LogP,HBD,HBA
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC5(C)CC5)nc34)[nH]c21,9.920818753952377,0.12,ChEMBL_IC50,IC50,,403.49,3.57,3,5
N#CCn1cc(-c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)cn1,9.9,0.12589254117941662,ChEMBL,Ki,CHEMBL3634771,385.44,1.82,2,8
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21,9.886056647693165,0.13,ChEMBL_IC50,IC50,,377.45,3.09,3,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C[C@H]5CCCO5)c(NC(C)(C)C)nc34)[nH]c21,9.886056647693165,0.13,ChEMBL_IC50,IC50,,435.53,3.59,3,6
COc1ccc(-n2ncc3cnc(-c4cncc(C)n4)cc32)nc1N1CCC[C@H](N)C1,9.87,0.1348962882591656,ChEMBL,Ki,CHEMBL3914639,416.49,2.52,1,9
Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CCC1,9.866461091629782,0.136,ChEMBL_IC50,IC50,,379.44,3.71,3,4
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C)c(N3CCC[C@H](N)C3)n2)n1,9.85,0.14125375446227553,ChEMBL,Ki,CHEMBL3982539,400.49,2.82,1,8
CCn1cncc(-c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)c1=O,9.84,0.1445439770745928,ChEMBL,Ki,CHEMBL3634769,402.46,1.67,2,8
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n([C@@H](C)c5cn(C)cn5)c(NC5(C)CC5)nc34)[nH]c21,9.82390874094432,0.15,ChEMBL_IC50,IC50,,457.54,3.5,3,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC(C)(C)C)nc34)[nH]c21,9.795880017344077,0.16,ChEMBL_IC50,IC50,,405.5,3.92,3,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC5(C)CC5)nc34)[nH]c21,9.795880017344077,0.16,ChEMBL_IC50,IC50,,418.5,2.65,4,6
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NC(=O)[C@H](N)CO)C1,9.795880017344077,0.16,ChEMBL_IC50,IC50,,477.57,1.9,6,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(Cc5cn(C)cn5)c(NC(C)(C)C)nc34)[nH]c21,9.795880017344077,0.16,ChEMBL_IC50,IC50,,445.53,3.19,3,7
Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CC1,9.790484985457368,0.162,ChEMBL_IC50,IC50,,365.41,3.32,3,4
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC[C@@H](N)CC1,9.78,0.1659586907437563,ChEMBL,Ki,CHEMBL3652638,447.52,2.97,3,8
Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c1=O,9.772113295386326,0.169,ChEMBL_IC50,IC50,,365.44,2.42,3,5
Cn1cc(-c2cc3c(-c4cccc(N5CCCNCC5)n4)n[nH]c3cn2)cn1,9.77,0.1698243652461746,ChEMBL,Ki,CHEMBL3634767,374.45,2.22,2,7
O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(CCC3CCNCC3)nc12,9.77,0.1698243652461746,ChEMBL,Ki,CHEMBL2387474,501.54,4.74,3,6
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](CO)NC4=O)c2nc1NC1CC1,9.752026733638193,0.177,ChEMBL_IC50,IC50,,349.39,2.28,4,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC5(C)CC5)nc34)[nH]c21,9.744727494896694,0.18,ChEMBL_IC50,IC50,,419.49,2.69,4,6
C[C@@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N,9.744727494896694,0.18,ChEMBL_IC50,IC50,,435.48,3.99,2,7
