smiles,pIC50
O=C1NCCc2[nH]c(-c3cccc4ccc(OC5CCCC5)nc34)cc21,7.515700160653214
C[C@@H]1C[C@H](N)CN(c2ccncc2NCc2ccc(F)c(-c3c(F)cc(CN4CC[C@@H](O)C4)cc3F)n2)C1,7.0
C[C@@H]1C[C@H](N)CN(c2ccncc2NCc2ccc(F)c(-c3ccccc3F)n2)C1,6.259637310505756
CS(=O)(=O)c1ccc(-c2c(-c3cccc(OC(F)(F)F)c3)cc3n2[C@@H](CCCN)CNC3=O)cc1,7.086186147616283
CC[C@H](N)COc1cncc(-c2ccc3[nH]cc(-c4ccc(N)nc4F)c3c2)n1,7.585026652029182
Cn1ncc(NC(=O)c2c(N)sc3cccnc23)c1N1CCC[C@H](N)C1,6.259637310505756
COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,4.523
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,4.523
CN1CCCC(Nc2ccnc(-c3c[nH]c4ccc(-c5nnc(N)o5)cc34)n2)C1,8.180785200117615
NC(=O)Cn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,8.08
Cn1c(I)c(Cl)c2c(Cl)cc(C(N)=O)nc21,6.1938200260161125
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3C[C@@H](N)CCC3=O)n2)n1,6.38
C[C@H]1CN(c2ccncc2NC(=O)c2ccc3ccc(N4CCN(C)CC4)cc3n2)C[C@@H](N)[C@@H]1O,6.823908740944319
CC(C)(C#N)CC#Cc1c(Cl)c2c(Cl)cc(C(N)=O)nc2n1[C@H]1CCCNC1,7.531652669587842
C[S+]([O-])c1cc(F)c(-c2nc(C(=O)Nc3cnc4c(c3N3CCC[C@H](N)C3)CC[C@@H]4O)ccc2F)c(F)c1,6.259637310505756
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC(N)CC(F)C1,10.3
CN[C@H]1CCCN(c2c(NC(=O)c3nc(-c4c(F)cccc4F)sc3N)cnn2C)CC1,8.36
NC(=O)c1cc(Cl)c2c(Cl)c(I)n(C3CCC(O)CC3)c2n1,6.935542010773082
