ligand,affinity_kcal,binds_hinge,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings,passes_ro5,ro5_violations,passes_tpsa,passes_rotbonds,has_pains,pains_alerts,passes_adme
phase2_7CHM_LIG_146393631,-9.338,True,2,0,436.45,3.07,2,7,116.16,5,32,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_162614708,-9.327,True,2,0,494.49,4.34,4,6,94.31,6,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_126482470,-9.321,True,5,2,436.52,3.03,2,7,95.61,6,32,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866574,-9.309,True,5,2,405.46,3.53,3,7,118.96,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393798,-9.307,True,1,0,478.45,4.82,2,5,79.48,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012424,-9.29,True,4,2,495.48,3.69,3,7,98.41,5,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393712,-9.283,True,1,0,460.46,4.68,2,5,79.48,5,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436000,-9.272,True,5,2,434.5,3.48,3,7,115.3,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012426,-9.27,True,4,2,466.52,2.93,3,8,122.2,6,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416357,-9.259,True,4,2,439.45,2.63,3,8,128.19,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436048,-9.255,True,4,2,424.44,2.84,3,7,115.3,5,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286387,-9.254,True,3,0,438.53,3.28,2,7,95.61,7,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416352,-9.241,True,4,2,453.48,3.02,3,8,128.19,7,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155562324,-9.228,True,4,2,395.46,3.73,2,6,92.37,6,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436084,-9.228,True,5,2,420.47,3.09,3,7,115.3,6,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_69920162,-9.197,True,3,1,443.51,4.29,2,7,104.29,5,33,5,4,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416363,-9.197,True,4,2,425.42,2.23,3,8,128.19,5,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866572,-9.196,True,4,2,421.51,3.57,4,8,122.12,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012414,-9.196,True,4,2,452.49,2.54,3,8,122.2,5,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142435998,-9.194,True,5,2,420.47,3.09,3,7,115.3,5,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012434,-9.158,True,3,2,478.48,4.02,3,7,104.4,6,34,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416349,-9.149,True,3,2,478.48,4.02,3,7,104.4,6,34,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_177211774,-9.146,True,4,2,348.41,2.54,2,7,98.45,4,26,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490584,-9.138,True,5,2,408.46,2.76,3,7,104.4,6,30,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155022056,-9.121,True,3,2,464.45,3.63,3,7,104.4,5,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393706,-9.114,True,1,0,479.43,4.22,2,6,92.37,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393636,-9.105,True,4,2,411.44,3.2,2,6,92.37,5,30,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155536065,-9.103,True,4,2,411.46,2.97,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436018,-9.1,True,4,2,434.5,3.48,3,7,115.3,7,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436062,-9.095,True,4,2,406.45,2.7,3,7,115.3,5,30,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691506,-9.093,True,4,2,419.49,3.92,3,7,118.96,7,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_175716355,-9.089,True,4,2,360.85,2.64,4,7,95.48,4,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155928385,-9.079,True,4,0,351.42,1.89,2,9,113.61,3,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118967,-9.071,True,1,0,362.44,4.12,4,6,111.78,5,27,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286447,-9.07,True,5,2,425.49,3.36,2,7,101.6,6,31,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866573,-9.067,True,4,2,421.46,2.85,4,8,139.19,7,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416310,-9.064,True,1,0,375.44,3.3,3,8,131.03,5,28,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155109155,-9.063,True,4,2,420.4,3.9,3,6,95.17,5,30,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691548,-9.06,True,4,2,449.52,3.55,3,8,128.19,8,33,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286277,-9.012,True,5,2,450.54,3.28,2,7,95.61,6,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393608,-8.996,True,1,0,461.44,4.08,2,6,92.37,5,33,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490572,-8.984,True,5,2,444.92,3.66,3,7,104.4,7,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166673091,-8.971,True,4,2,330.37,1.74,4,7,95.48,4,24,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118908,-8.956,True,4,2,365.44,3.62,4,7,124.67,5,27,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_141725056,-8.948,True,5,2,358.43,2.47,4,7,95.48,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286352,-8.927,True,3,0,425.49,3.36,2,7,101.6,7,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166635463,-8.925,True,5,0,337.39,1.88,3,8,124.47,3,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129275413,-8.922,True,5,2,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490554,-8.917,True,5,2,410.48,3.0,3,7,104.4,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146290574,-8.906,True,5,0,475.47,4.38,3,6,91.51,6,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286384,-8.899,True,5,2,411.46,2.97,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122457166,-8.898,True,1,0,383.41,1.62,3,8,117.29,5,28,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155691527,-8.898,True,4,2,432.49,3.52,3,9,125.7,8,32,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_164091414,-8.898,True,4,2,432.49,3.52,3,9,125.7,8,32,4,4,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866595,-8.89,True,1,0,407.48,3.32,4,8,122.12,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416326,-8.884,True,2,0,495.48,3.69,3,7,98.41,5,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490585,-8.883,True,5,2,400.41,2.36,3,7,104.4,5,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155022157,-8.882,True,1,0,484.43,4.64,3,6,95.17,5,34,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_166675729,-8.856,True,5,2,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286279,-8.84,True,5,2,436.52,3.03,2,7,95.61,6,32,5,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416390,-8.84,True,5,2,369.82,3.11,3,8,131.03,5,26,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_166866571,-8.83,True,4,2,451.53,3.34,4,9,131.35,8,33,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119010,-8.828,True,4,2,418.46,3.13,3,9,125.7,8,31,4,4,True,0,True,True,False,0,True
