ligand,affinity_kcal,pIC50_pred,IC50_pred_nM,combined_score,max_tanimoto,mean_tanimoto,nn_pIC50,in_ad_standard,in_ad_strict
phase2_7CHM_LIG_117881541,-9.579,5.78,1661.18,,0.268,0.1484,5.228,False,False
phase2_7CHM_LIG_142435998,-9.194,6.35,447.11,,0.2673,0.1394,6.635,False,False
phase2_7CHM_LIG_146329790,-8.728,6.646,225.99,,0.2655,0.1315,6.26,False,False
phase2_7CHM_LIG_146393701,-7.025,7.096,80.22,,0.2655,0.1427,8.987,False,False
phase2_7CHM_LIG_117881546,-9.63,5.648,2246.98,,0.2653,0.1423,5.228,False,False
phase2_7CHM_LIG_155554448,-9.75,5.993,1015.7,,0.2647,0.1348,5.228,False,False
phase2_7CHN_LIG_155119010,-8.828,6.321,477.78,,0.2647,0.1303,5.228,False,False
phase2_7CIL_LIG_175716355,-9.089,6.708,195.72,,0.2644,0.1215,7.796,False,False
phase2_7CHM_LIG_146329789,-9.747,6.546,284.77,,0.2642,0.1425,6.824,False,False
phase2_7CHM_LIG_142416410,-9.689,6.996,100.92,,0.2626,0.1452,6.398,False,False
phase2_7CHM_LIG_142436055,-9.159,6.616,241.9,,0.2626,0.1431,5.228,False,False
phase2_7CHM_LIG_142416332,-9.708,7.338,45.87,,0.2604,0.1409,8.449,False,False
phase2_7CHN_LIG_155691527,-8.898,6.817,152.57,,0.2596,0.1239,5.228,False,False
phase2_7CHM_LIG_151620004,-9.829,7.251,56.07,,0.2596,0.1432,5.228,False,False
phase2_7CHN_LIG_164091414,-8.898,6.817,152.57,,0.2596,0.1239,5.228,False,False
phase2_7CHM_LIG_142416357,-9.259,6.723,189.28,,0.2596,0.1426,6.635,False,False
phase2_7CHM_LIG_146393630,-7.116,6.86,138.19,,0.2589,0.1434,6.26,False,False
phase2_7CHN_LIG_155119023,-8.311,7.023,94.9,,0.2588,0.1237,7.058,False,False
phase2_7CHM_LIG_142436000,-9.272,6.513,307.12,,0.2571,0.142,6.635,False,False
phase2_7CIL_LIG_166675729,-8.856,7.007,98.36,,0.2551,0.1277,6.824,False,False
phase2_7CHM_LIG_150071746,-9.37,6.2,630.66,,0.2549,0.138,5.228,False,False
phase2_7CHM_LIG_142436048,-9.255,6.807,156.11,,0.2549,0.1392,6.635,False,False
phase2_7CHM_LIG_142416358,-9.402,6.774,168.32,,0.2547,0.1383,5.228,False,False
phase2_7CHM_LIG_155012414,-9.196,6.774,168.32,,0.2547,0.1383,5.228,False,False
phase2_7CHM_LIG_142416352,-9.241,6.777,166.99,,0.2523,0.1418,6.635,False,False
phase2_7CIL_LIG_142416303,-8.54,7.448,35.66,,0.25,0.1081,9.017,False,False
phase2_7CIL_LIG_166635463,-8.925,6.782,165.08,,0.25,0.1297,8.77,False,False
phase2_7CHM_LIG_155012426,-9.27,6.718,191.49,,0.25,0.1405,5.228,False,False
phase2_7CHM_LIG_142416333,-9.468,6.718,191.49,,0.25,0.1405,5.228,False,False
phase2_7CIL_LIG_142755084,-8.776,6.982,104.16,,0.25,0.1209,6.824,False,False
phase2_7CHN_LIG_155118972,-8.448,6.785,163.96,,0.25,0.1202,8.268,False,False
phase2_7CHM_LIG_155012424,-9.29,6.638,230.18,,0.2476,0.1437,5.228,False,False
phase2_7CHM_LIG_142416326,-8.884,6.638,230.18,,0.2476,0.1437,5.228,False,False
phase2_7CHM_LIG_142416320,-9.689,6.828,148.6,,0.2474,0.1383,6.176,False,False
phase2_7CIL_LIG_158224339,-8.609,7.461,34.59,,0.2471,0.1285,8.854,False,False
phase2_7CIL_LIG_129266632,-8.558,7.461,34.59,,0.2471,0.1285,8.854,False,False
phase2_7CIL_LIG_129266648,-8.671,7.461,34.59,,0.2471,0.1285,8.854,False,False
phase2_7CHM_LIG_146312779,-8.605,6.685,206.63,,0.2453,0.1427,8.699,False,False
phase2_7CHM_LIG_142436020,-8.808,6.685,206.63,,0.2453,0.1427,8.699,False,False
phase2_7CIL_LIG_142416413,-8.553,7.902,12.52,,0.2442,0.1085,9.017,False,False
phase2_7CHN_LIG_155118969,-7.994,7.094,80.56,,0.2418,0.1287,8.494,False,False
phase2_7CIL_LIG_145336712,-8.62,7.403,39.55,,0.241,0.1295,5.745,False,False
phase2_7CHN_LIG_155119024,-8.551,6.908,123.52,,0.2407,0.1246,5.425,False,False
phase2_7CIL_LIG_142416379,-8.571,7.487,32.62,,0.2353,0.1125,9.017,False,False
phase2_7CIL_LIG_166673091,-8.971,6.723,189.22,,0.2333,0.1285,6.947,False,False
phase2_7CIL_LIG_142755078,-9.341,6.94,114.8,,0.233,0.1231,6.26,False,False
phase2_7CIL_LIG_155928385,-9.079,6.421,379.44,,0.2308,0.1131,7.796,False,False
phase2_7CHN_LIG_155118908,-8.956,6.674,211.98,,0.2308,0.1251,6.587,False,False
phase2_7CIL_LIG_142416321,-8.6,6.251,560.79,,0.2283,0.1028,7.532,False,False
phase2_7CIL_LIG_141725056,-8.948,7.403,39.58,,0.2283,0.1307,6.745,False,False
phase2_7CIL_LIG_142416385,-8.727,7.831,14.74,,0.2273,0.1123,9.017,False,False
phase2_7CIL_LIG_142416390,-8.84,6.261,548.27,,0.2258,0.1002,7.532,False,False
phase2_7CIL_LIG_129244943,-8.806,7.391,40.62,,0.2247,0.1187,8.854,False,False
phase2_7CIL_LIG_129244941,-8.822,7.391,40.62,,0.2247,0.1187,8.854,False,False
phase2_7CIL_LIG_129275413,-8.922,7.391,40.62,,0.2247,0.1187,8.854,False,False
phase2_7CHT_LIG_151121021,-9.439,6.496,319.09,,0.2212,0.1175,6.538,False,False
phase2_7CIL_LIG_142416409,-7.647,6.421,379.73,,0.2209,0.1054,6.587,False,False
phase2_7CIL_LIG_157996792,-7.521,6.614,243.46,,0.2208,0.1085,8.097,False,False
phase2_7CIL_LIG_146851006,-7.97,7.076,84.02,,0.2169,0.0981,6.616,False,False
