ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CHM_LIG_148694189,7CHM_LIG,-9.686,2,0,482.47,2.36,2,9,134.62,6.934,116.51,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(O[C@H]2CCOC2)c2c(C#N)c[nH]c2n1,0.18459122224551053,True
phase2_7CHN_LIG_155119024,7CHN_LIG,-8.551,3,1,351.41,3.23,4,7,124.67,6.908,123.52,COc1cc(N)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,0.17234227459705878,True
phase2_7CIL_LIG_142416394,7CIL_LIG,-7.837,2,0,324.39,3.09,3,7,107.24,6.896,127.14,CCNc1nc(Nc2cn(C(C)C)nc2C)nc2[nH]cc(C#N)c12,0.1918302911626093,True
phase2_7CIL_LIG_142416375,7CIL_LIG,-7.961,2,1,324.39,3.09,3,7,107.24,6.877,132.83,CCNc1nc(Nc2cnn(C(C)C)c2C)nc2[nH]cc(C#N)c12,0.1591391746396714,True
phase2_7CHN_LIG_169729302,7CHN_LIG,-9.416,3,1,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.20120571983660232,True
phase2_7CHN_LIG_155691506,7CHN_LIG,-9.093,4,1,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.20120571983660232,True
phase2_7CHN_LIG_168793585,7CHN_LIG,-9.416,3,0,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.20120571983660232,True
phase2_7CHM_LIG_146393630,7CHM_LIG,-7.116,4,2,464.5,3.85,2,7,116.16,6.86,138.19,COc1cc(C(=O)N2CCCCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C#N)c[nH]c2n1,0.19982267873630127,True
phase2_7CHN_LIG_155109126,7CHN_LIG,-9.721,1,0,459.55,4.84,3,7,118.96,6.853,140.32,CCOc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,0.2009849579876223,True
phase2_7CHN_LIG_155118926,7CHN_LIG,-10.182,2,1,447.5,4.28,3,8,128.19,6.852,140.65,COc1cc(N2CCOC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,0.1656024074540977,True
