cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
3185,seed_0,CC1=NC(=CC=C1)CCN2CCC(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_3185.sdf,3d,401.53,2.9,1,5,79.37,7,28,3,2
68254185,seed_0,CC1(C=CSC(=N1)N)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_68254185.sdf,3d,367.41,3.14,2,6,104.16,3,26,3,2
118873253,seed_0,CC1(CCN(CC1)C2=C(N=CC=C2)NC(=O)C3=NC(=CN=C3N)C4=C(C=CC=N4)C(F)(F)F)N,kinase_domain/data/phase2b/raw/phase2b_seed_0_118873253.sdf,3d,472.48,3.1,3,8,135.94,4,34,4,3
10090485,seed_0,CC1=NC(=CC=C1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N,kinase_domain/data/phase2b/raw/phase2b_seed_0_10090485.sdf,3d,369.43,3.51,1,5,86.69,3,28,5,4
11552706,seed_0,CC1=C(C=C(C=C1F)C(=O)NC2CC2)C3=NC=C(C=C3)C(=O)NCC(C)(C)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_11552706.sdf,3d,383.47,3.86,2,3,71.09,5,28,3,2
15984937,seed_0,CC1CN(CCN1)CC2=CC=C(C=C2)CC(=O)N3CCC(CC3)NC4=CC(=CC=C4)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_15984937.sdf,3d,424.56,3.27,2,4,47.61,6,31,4,2
50922681,seed_0,CC(C)CCNC1=C(C=CC=N1)C(=O)N2CCN(CC2)CC3=CC=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_50922681.sdf,3d,366.51,3.5,1,4,48.47,7,27,3,2
51358113,seed_0,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_51358113.sdf,3d,432.41,5.2,1,5,73.8,2,32,5,5
9865384,seed_0,CC1=CN=C(C=C1)CNCC2(CCN(CC2)C(=O)C3=CC(=C(C=C3)F)Cl)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_9865384.sdf,3d,393.86,3.92,1,3,45.23,5,27,3,2
11569967,seed_0,CC1=C(C=CC(=C1)NC2=NC=C(C(=N2)NC3C4CC(C3C(=O)N)C=C4)F)N5CCN(CC5)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_11569967.sdf,3d,451.55,2.51,3,7,99.41,6,33,5,2
45139106,seed_0,CS(=O)(=O)O.C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_45139106.sdf,2d,493.59,4.18,3,7,145.07,6,35,4,3
46926973,seed_0,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_46926973.sdf,3d,396.45,3.79,1,6,93.55,5,30,4,4
121293929,seed_0,CC#CC(=O)NC1CCCN(C1)C2=C(C=C(C3=C2C(=C(N3)C)C)C(=O)N)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_121293929.sdf,3d,370.43,2.13,3,3,91.22,3,27,3,2
9939865,seed_0,CN1CCC(CC1)N2CCN(CC2)C(=O)C(C3=CC=CC=C3)NC(=O)C4=CC5=C(C=C4)C=CN5,kinase_domain/data/phase2b/raw/phase2b_seed_0_9939865.sdf,3d,459.59,2.88,2,4,71.68,5,34,5,3
12136798,seed_0,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,kinase_domain/data/phase2b/raw/phase2b_seed_0_12136798.sdf,3d,390.42,3.38,3,4,97.11,6,29,3,3
46181428,seed_0,C1CCC(C1)CC(C(=O)NC2=NC=C(C=C2)C(=O)O)N3C=C(N=C3)C(F)(F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_46181428.sdf,3d,396.37,3.76,2,5,97.11,6,28,3,2
9843744,seed_0,C1CN2C(=O)C(N=C(C3=CC(=CC1=C32)N)C4=CC=CC=C4)NC(=O)C5=CN=CC=C5,kinase_domain/data/phase2b/raw/phase2b_seed_0_9843744.sdf,3d,397.44,2.16,2,5,100.68,3,30,5,3
6433122,seed_0,C1CN(CCN1CCC2=CC=C(C=C2)F)C(=O)C3=CC=CC4=C3NC=C4C#N,kinase_domain/data/phase2b/raw/phase2b_seed_0_6433122.sdf,3d,376.44,3.18,1,3,63.13,4,28,4,3
9870520,seed_0,CC(C)(C)C(=O)CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)NC3=CC=CC(=C3)NC)C4=CC=CC=N4,kinase_domain/data/phase2b/raw/phase2b_seed_0_9870520.sdf,3d,498.59,4.07,3,6,115.79,6,37,4,3
10296883,seed_0,CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,kinase_domain/data/phase2b/raw/phase2b_seed_0_10296883.sdf,3d,438.49,2.43,2,6,94.22,3,33,6,4
11538455,seed_0,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO,kinase_domain/data/phase2b/raw/phase2b_seed_0_11538455.sdf,3d,394.48,2.09,3,7,95.31,6,29,4,3
71236992,seed_0,CC(C(=O)NC1C2=CC=CC=C2C3=C(N=CC=C3)N(C1=O)CCO)NC(=O)CCC(F)(F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_71236992.sdf,3d,464.44,2.09,3,5,111.63,7,33,3,2
2929,seed_0,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C(=O)C(=O)NC4=CC=NC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_2929.sdf,3d,389.84,4.56,1,4,63.99,5,28,4,4
49843471,seed_0,C1CN(CC2=C1N(C3=C2C=C(C=C3)F)CC(=O)O)C(=O)C4=CC=CC5=CC=CC=C54,kinase_domain/data/phase2b/raw/phase2b_seed_0_49843471.sdf,3d,402.43,4.22,1,3,62.54,3,30,5,4
71919,seed_0,CC(CCN1CCN(CC1)C2=CC=C(C=C2)F)NC(=O)C3=CN=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_71919.sdf,3d,356.45,2.55,1,4,48.47,6,26,3,2
86274158,seed_0,CC(C)(C1=CC=CC=C1)NC(=O)C2=NN(C3=CC=CC=C32)CCCCCF,kinase_domain/data/phase2b/raw/phase2b_seed_0_86274158.sdf,3d,367.47,4.84,1,3,46.92,8,27,3,3
44206133,seed_0,CC(C)C(C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3,kinase_domain/data/phase2b/raw/phase2b_seed_0_44206133.sdf,3d,356.47,2.86,2,4,90.01,6,26,3,2
5284566,seed_0,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_5284566.sdf,3d,312.42,2.32,1,4,50.16,2,23,4,2
11688533,seed_0,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3CC3C4CC4,kinase_domain/data/phase2b/raw/phase2b_seed_0_11688533.sdf,3d,331.37,4.12,1,3,46.92,5,24,4,2
91885568,seed_0,CC1=CC(=C(N1C)C(=O)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C4=NC=C(C=N4)F)C5=CC=CC=C5,kinase_domain/data/phase2b/raw/phase2b_seed_0_91885568.sdf,3d,498.56,4.08,1,7,83.36,6,37,5,4
11167112,seed_0,CN1C(=O)C(=C(N=C1NCC(CC2=CC=CC=C2)N)C3=CC=NC=C3)C4=CC5=CC=CC=C5C=C4,kinase_domain/data/phase2b/raw/phase2b_seed_0_11167112.sdf,3d,461.57,4.64,2,6,85.83,7,35,5,5
60195662,seed_0,CC(C1=CC=C(C=C1)F)N(CC2=CC(=CC=C2)C(=O)O)C(=O)C3=CC4=CC=CC=C4N=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_60195662.sdf,3d,428.46,5.48,1,3,70.5,6,32,4,4
66571548,seed_0,CC(C)(CO)N1C=C(C2=CN=C(N=C21)N)C(=O)C3=CC(=CN=C3)NC(=O)CC4=NC=C(C=C4)Cl,kinase_domain/data/phase2b/raw/phase2b_seed_0_66571548.sdf,3d,479.93,2.6,3,9,148.91,7,34,4,4
129597835,seed_0,CC(C)(C)C(C(=O)OC)NC(=O)C1=CN(C2=CC=CC=C21)CCCCCF,kinase_domain/data/phase2b/raw/phase2b_seed_0_129597835.sdf,3d,376.47,4.1,1,4,60.33,8,27,2,2
5164,seed_0,C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_5164.sdf,3d,338.39,2.65,2,6,81.65,3,25,4,3
11493841,seed_0,CC1=CC(=CC=C1)NC2=NC(=NC=C2C(=O)N)NC3CCCCC3N,kinase_domain/data/phase2b/raw/phase2b_seed_0_11493841.sdf,3d,340.43,2.31,4,6,118.95,5,25,3,2
4030,seed_1,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_1_4030.sdf,3d,295.3,2.97,2,4,84.08,3,22,3,3
6918837,seed_1,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,kinase_domain/data/phase2b/raw/phase2b_seed_1_6918837.sdf,3d,349.43,3.33,4,3,77.15,7,26,3,3
54746,seed_1,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,kinase_domain/data/phase2b/raw/phase2b_seed_1_54746.sdf,3d,451.62,3.19,2,4,71.68,8,33,4,2
54739,seed_1,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,kinase_domain/data/phase2b/raw/phase2b_seed_1_54739.sdf,3d,311.34,2.22,2,4,91.65,3,23,3,2
