ligand,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder,MW,LogP,HBD,HBA,TPSA,RotBonds,SA_score,SA_class,PAINS,Brenk_alert,ro5_violations,passes_local,smiles,passes_admet,affinity_kcal,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2b_seed_4_56836188,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.10a=164.0 | GLY605(ldon)d=3.12a=146.6 | GLY605(ldon)d=3.11a=125.0,True,415.5,2.7,2,7,103.65,7,2.691,easy,False,False,0,True,Cc1cc(N)nc(C)c1CNC(=O)c1cn(Cc2ccc(Cn3cccn3)cc2)cn1,True,-8.5,5.057,0.205,8775.17,low,0.5263157894736842,0.16178670656123117,0.3440512480174577
phase2b_seed_4_156155310,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.22a=160.9 | GLY605(ldon)d=3.33a=156.7,True,457.92,4.46,2,7,81.07,5,2.987,easy,False,False,0,True,Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,True,-8.4,5.32,0.202,4790.29,low,0.5526315789473684,0.21799529814062846,0.3853134385439984
phase2b_seed_4_59332218,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.75a=119.2,True,404.5,3.14,2,7,75.08,4,2.429,easy,False,False,0,True,O=C(Nc1ccccc1N1CCNCC1)c1csc(-n2ncc3ccccc32)n1,True,-8.4,4.909,0.078,12337.07,high,0.5526315789473684,0.13015601624278694,0.34139379759507765
phase2b_seed_4_146560487,5,1,4,0,0,0,0,[605],GLY605(pdon)d=3.50a=158.1 | GLY605(ldon)d=3.17a=128.4 | GLY605(ldon)d=2.80a=126.7 | GLY605(ldon)d=2.95a=125.7 | GLY605(ldon)d=3.73a=141.6,True,461.53,2.61,2,9,107.6,6,4.11,moderate,False,False,0,True,CNc1cc(-c2cnc3n([C@H]4CCOC4)cccc2-3)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,True,-8.4,6.242,0.748,572.84,low,0.5526315789473684,0.41504594998931404,0.4838387644683412
phase2b_seed_3_443884,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.71a=162.8 | GLU603(ldon)d=3.11a=104.1 | GLU603(ldon)d=3.86a=146.8 | GLU603(ldon)d=2.97a=117.3 | GLY605(ldon)d=2.87a=111.2,True,325.41,1.53,3,3,68.36,3,3.797,moderate,False,False,0,True,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,True,-8.4,5.312,0.111,4872.0,moderate,0.5526315789473684,0.21628553109638823,0.3844585550218783
phase2b_seed_1_10409068,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.38a=158.3 | GLU603(ldon)d=3.99a=170.0,True,406.49,3.12,3,6,100.42,7,2.503,easy,False,False,0,True,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,True,-8.4,4.789,0.353,16248.23,low,0.5526315789473684,0.10450951057918358,0.32857054476327596
phase2b_seed_4_53482276,9,1,8,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.97a=169.4 | GLU603(ldon)d=3.89a=128.5 | GLY605(ldon)d=2.91a=124.6 | GLY605(ldon)d=3.74a=125.2 | GLY605(ldon)d=2.93a=125.0 | GLY605(ldon)d=3.96a=106.7 | GLY605(ldon)d=2.97a=142.7 | GLY605(ldon)d=3.93a=109.3 | GLY605(ldon)d=4.08a=133.9,True,419.46,2.57,4,7,125.95,4,3.412,moderate,False,False,0,True,Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cn[nH]c1N1CCC[C@H](N)C1,True,-8.4,7.263,0.141,54.62,moderate,0.5526315789473684,0.6332549690104724,0.5929432739789204
phase2b_seed_2_466848,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.45a=163.6 | GLY605(ldon)d=3.17a=139.9,True,370.42,3.77,1,5,78.01,2,2.764,easy,False,False,0,True,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3c[nH]c4cnccc34)nc21,True,-8.4,5.558,0.084,2766.86,high,0.5526315789473684,0.268860867706775,0.41074622332707167
phase2b_seed_0_71535962,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.95a=162.4 | GLU603(ldon)d=3.73a=144.6 | GLU603(ldon)d=4.05a=114.9 | GLY605(ldon)d=3.69a=101.6,True,363.46,3.56,1,3,62.3,3,3.105,moderate,False,False,0,True,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,True,-8.4,4.921,0.139,11994.62,moderate,0.5526315789473684,0.13272066680914738,0.3426761228782579
phase2b_seed_4_162639718,1,0,1,0,0,0,0,[605],GLY605(ldon)d=2.93a=121.2,True,417.47,2.42,3,7,127.82,6,3.265,moderate,False,False,0,True,Cn1cc(Nc2ncc(C3=CCC[C@@H](NC(=O)c4ccccc4)C3)nc2C(N)=O)cn1,True,-8.4,5.988,0.475,1028.71,low,0.5526315789473684,0.3607608463346871,0.4566962126410277
