ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2b_seed_0_58124325,-8.2,2,0,2,0,0,0,0,[605],GLY605(ldon)d=4.08a=125.8 | GLY605(ldon)d=3.34a=136.4,True
phase2b_seed_0_12136798,-8.2,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.10a=161.4 | GLU603(ldon)d=3.31a=154.6 | GLU603(ldon)d=3.62a=123.2 | GLY605(ldon)d=3.00a=157.7,True
phase2b_seed_4_25261388,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_11270783,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_462961,-8.2,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.29a=138.5,True
phase2b_seed_4_25262782,-8.2,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.58a=162.9 | GLY605(ldon)d=4.01a=110.2 | GLY605(ldon)d=3.29a=111.5,True
phase2b_seed_4_46232643,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_118034891,-8.2,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.84a=100.3,True
phase2b_seed_4_75163532,-8.2,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.22a=127.2,True
phase2b_seed_4_51034710,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_1_9951066,-8.2,3,0,3,0,0,0,0,[605],GLY605(ldon)d=3.75a=112.6 | GLY605(ldon)d=3.73a=160.3 | GLY605(ldon)d=3.04a=125.3,True
phase2b_seed_1_53252276,-8.2,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.12a=161.7 | GLU603(ldon)d=3.13a=137.5,True
phase2b_seed_1_208947,-8.2,2,1,1,0,0,0,0,[605],GLY605(pdon)d=4.02a=145.9 | GLY605(ldon)d=3.30a=150.4,True
phase2b_seed_2_58548152,-8.2,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.69a=156.1 | GLY605(ldon)d=3.18a=119.5 | GLY605(ldon)d=2.88a=124.2,True
phase2b_seed_4_165414909,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_11610526,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_45488032,-8.1,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.10a=164.4 | GLY605(ldon)d=3.03a=121.2,True
phase2b_seed_4_59455638,-8.1,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=151.4 | GLU603(ldon)d=3.50a=110.3,True
phase2b_seed_0_44631912,-8.1,1,0,1,0,0,0,0,[605],GLY605(ldon)d=4.09a=105.0,True
phase2b_seed_4_46227572,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_216210,-8.1,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.81a=138.2,True
phase2b_seed_4_57377741,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_1_44623946,-8.1,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.09a=161.0 | GLY605(ldon)d=2.75a=130.1,True
phase2b_seed_0_6433122,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_51352361,-8.1,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.33a=161.0,True
phase2b_seed_4_25255436,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_35802,-8.1,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.75a=155.3 | GLY605(ldon)d=3.74a=134.0 | GLY605(ldon)d=2.93a=113.0,True
phase2b_seed_1_9864291,-8.1,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.74a=163.4,True
phase2b_seed_4_67501573,-8.1,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.41a=159.5 | GLY605(ldon)d=3.53a=109.4,True
phase2b_seed_2_462960,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_58548190,-8.1,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.94a=129.3,True
phase2b_seed_4_137450100,-8.1,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.82a=161.9 | GLY605(ldon)d=3.59a=113.2 | GLY605(ldon)d=2.80a=144.1,True
phase2b_seed_4_67776704,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_67775470,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_124037111,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_1_71059525,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_51035420,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_56649450,-8.1,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_71288502,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_15980109,-8.0,9,1,8,0,0,0,0,[605],GLY605(pdon)d=3.49a=156.9 | GLY605(ldon)d=3.02a=109.0 | GLY605(ldon)d=3.02a=118.2 | GLY605(ldon)d=3.21a=125.2 | GLY605(ldon)d=2.82a=103.0 | GLY605(ldon)d=3.04a=166.3 | GLY605(ldon)d=3.38a=111.6 | GLY605(ldon)d=2.91a=106.9 | GLY605(ldon)d=3.61a=121.3,True
phase2b_seed_0_46926973,-8.0,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.24a=122.3,True
phase2b_seed_4_166629432,-8.0,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=4.04a=160.3 | GLU603(ldon)d=3.66a=132.3 | GLY605(ldon)d=2.93a=107.5,True
phase2b_seed_4_56941864,-8.0,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.09a=161.5 | GLU603(ldon)d=3.92a=116.5 | GLY605(ldon)d=2.99a=136.7,True
phase2b_seed_4_58063084,-8.0,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.17a=107.4 | GLY605(ldon)d=3.23a=110.2,True
phase2b_seed_2_25209788,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_11539025,-8.0,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.52a=154.7 | GLY605(ldon)d=3.09a=119.2,True
phase2b_seed_4_57377630,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_71262754,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_998879,-8.0,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.37a=173.1,True
phase2b_seed_0_10096344,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_25262616,-8.0,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.64a=160.6 | GLU603(ldon)d=3.97a=113.1,True
phase2b_seed_4_25263292,-8.0,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.19a=164.8 | GLU603(ldon)d=3.99a=123.2 | GLY605(ldon)d=3.47a=151.5 | GLY605(ldon)d=3.22a=100.6 | GLY605(ldon)d=3.23a=127.4,True
phase2b_seed_2_66555680,-8.0,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.22a=129.4,True
phase2b_seed_4_51002052,-8.0,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.32a=151.3 | GLU603(ldon)d=2.82a=116.6,True
phase2b_seed_4_71288719,-8.0,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.70a=152.2,True
phase2b_seed_0_15984937,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_124154795,-8.0,0,0,0,0,0,0,0,[],,False
phase2b_seed_3_25166913,-8.0,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.03a=174.9,True
phase2b_seed_2_10163627,-7.9,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.19a=171.6 | GLU603(ldon)d=3.90a=147.0,True
phase2b_seed_4_25262617,-7.9,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.75a=160.0 | GLY605(ldon)d=3.90a=111.4,True
phase2b_seed_4_57861407,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_69936421,-7.9,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.57a=151.1 | GLU603(ldon)d=3.66a=102.9,True
phase2b_seed_2_10273657,-7.9,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.61a=156.9 | GLY605(ldon)d=3.20a=100.8 | GLY605(ldon)d=3.36a=175.1 | GLY605(ldon)d=3.27a=160.7,True
phase2b_seed_4_25262783,-7.9,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.72a=162.2 | GLY605(ldon)d=3.43a=125.0,True
phase2b_seed_1_67454400,-7.9,1,1,0,0,0,0,0,[605],GLY605(pdon)d=2.88a=178.3,True
phase2b_seed_0_68254185,-7.9,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.00a=179.6 | GLY605(ldon)d=3.39a=132.2 | GLY605(ldon)d=3.46a=153.0,True
phase2b_seed_2_454732,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_72194526,-7.9,6,1,5,0,0,0,0,"[603, 605]",GLY605(pdon)d=4.02a=157.8 | GLU603(ldon)d=3.36a=158.7 | GLU603(ldon)d=3.37a=148.9 | GLU603(ldon)d=3.51a=170.6 | GLY605(ldon)d=3.75a=125.1 | GLY605(ldon)d=3.02a=141.8,True
phase2b_seed_1_54739,-7.9,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.75a=104.8,True
phase2b_seed_0_11667893,-7.9,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.05a=105.4,True
phase2b_seed_4_72195318,-7.9,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.96a=149.1 | GLY605(ldon)d=3.17a=137.0,True
phase2b_seed_1_11315474,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_118034890,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_10180587,-7.9,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.66a=112.4,True
phase2b_seed_3_57404063,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_46927949,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_11493841,-7.9,2,1,1,0,0,0,0,[605],GLY605(pdon)d=4.09a=149.2 | GLY605(ldon)d=3.45a=135.3,True
phase2b_seed_2_16219401,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_57377629,-7.9,0,0,0,0,0,0,0,[],,False
phase2b_seed_1_11961293,-7.8,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_462952,-7.8,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.85a=156.3 | GLY605(ldon)d=3.81a=102.5 | GLY605(ldon)d=3.59a=114.8 | GLY605(ldon)d=2.90a=103.0,True
phase2b_seed_2_462972,-7.8,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.65a=132.2,True
phase2b_seed_0_71226662,-7.8,1,1,0,0,0,0,0,[605],GLY605(pdon)d=4.04a=157.2,True
phase2b_seed_0_59634741,-7.8,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_153948,-7.8,0,0,0,0,0,0,0,[],,False
