ligand,affinity_kcal,pIC50_pred,vina_norm,pIC50_norm,combined_score
phase2_7CHM_LIG_118286428,-8.737,5.649,0.48129675810473804,0.07588187038556178,0.27858931424514993
phase2_7CHM_LIG_117881533,-9.725,6.194,0.2573112672863296,0.2994257588187037,0.27836851305251664
phase2_7CHM_LIG_118286451,-8.696,5.624,0.49059170256177737,0.06562756357670192,0.27810963306923964
phase2_7CHN_LIG_155109171,-10.138,6.406,0.1636817048288369,0.386382280557834,0.27503199269333545
phase2_7CHM_LIG_118286277,-9.012,5.782,0.41895261845386517,0.1304347826086955,0.27469370053128034
phase2_7CHM_LIG_126482470,-9.321,5.952,0.34890047608252095,0.2001640689089416,0.27453227249573126
phase2_7CHM_LIG_155562324,-9.228,5.892,0.3699841305826343,0.17555373256767842,0.27276893157515636
phase2_7CHN_LIG_155118997,-10.735,6.702,0.028338245295851282,0.5077932731747332,0.26806575923529224
phase2_7CHM_LIG_118286467,-8.794,5.623,0.4683745182498298,0.06521739130434775,0.2667959547770888
phase2_7CHN_LIG_155109177,-10.224,6.412,0.14418499206529115,0.38884331419196044,0.2665141531286258
phase2_7CHM_LIG_118286459,-8.792,5.619,0.46882793017456353,0.06357670221493002,0.26620231619474677
phase2_7CHN_LIG_155109167,-10.333,6.417,0.11947404216730884,0.39089417555373235,0.25518410886052056
phase2_7CHM_LIG_142436063,-9.536,5.971,0.30015869417365676,0.20795734208367503,0.2540580181286659
phase2_7CHM_LIG_118286393,-9.186,5.77,0.3795057810020403,0.12551271534044264,0.2525092481712415
phase2_7CHN_LIG_155119000,-10.86,6.679,-0.0,0.49835931091058244,0.24917965545529122
phase2_7CHM_LIG_122490555,-8.841,5.538,0.45771933801858994,0.030352748154224715,0.24403604308640733
phase2_7CHM_LIG_122490550,-8.793,5.502,0.46860122421219685,0.015586546349466518,0.2420938852808317
phase2_7CHM_LIG_155554448,-9.75,5.993,0.25164361822715925,0.21698113207547168,0.23431237515131548
